,Basal_KO_DM,Basal_WT_DM,LP_Cycling_KO_DM,LP_Cycling_WT_DM,LP_Others_KO_DM,LP_Others_WT_DM,LP_Others!_KO_DM,LP_Others!_WT_DM,Mature_Luminal_KO_DM,Mature_Luminal_WT_DM
2610021A01Rik(+),6.636803959591513,0.9200563781022927,0.2775834119183508,-0.716584654328092,0.5802386373487938,-2.35668731880862,-1.9121406350675751,0.24115222143690462,-1.3910169883364687,-3.3069790656365443
Ahdc1(+),6.41143320342908,0.7195979159998481,-0.9769532900789915,-2.4840870883513295,11.582622946452734,6.3096217154160765,2.4964957716551432,-2.0063149025375915,-10.365350353805798,-19.273100414581055
Ahr(+),-2.5980625813581772,-10.194031042206525,2.9446097666075244,-2.03184399349737,30.604464725833793,3.6623684177642644,0.9610141008748836,-1.8014080209574908,-9.867629734331626,-18.37583385466891
Alx1(+),-1.436358612347304,-1.4632595078772177,8.181845980137732,9.01368400676621,-1.6349721190399797,-0.7740481415410617,0.8318998854810152,6.458120765454203,-1.8742328242789346,-2.2937414438487553
Alx4(+),19.407085899442624,11.780699813421823,-1.741934363639103,-2.3954361658345054,-6.033730516309585,5.260393508182844,-1.7162639143936946,-1.3346929715560178,-9.846271707505881,-18.395921714871594
Ar(+),-0.8841872177868424,-5.171395176902603,8.261318317352853,4.969125638768744,5.939796050150785,-3.114811560530703,4.611426841030222,1.5064223341211687,4.5438875045720675,-8.56863935656841
Arid3a(+),12.015568898367658,5.778558324697885,-0.9928341478397696,-0.8096931020575556,-5.672625135439625,-6.253320386975698,-1.456038410968461,-1.2622794349692141,-1.570246791338981,-0.05743464567593421
Arid5b(+),10.881725018068597,20.64078307697409,-3.5197161741798344,0.31050685001907513,-8.370054659760136,-7.568632147352039,-2.6933510113102592,-1.3755720136648475,-2.4430419613861356,-5.102639791134521
Arnt(+),2.94266702409934,-2.146561124767393,9.3752630065694,4.39451613240436,-1.6389055736842333,-6.822357444731741,8.725868906637542,4.896579619775576,-1.4161515622432048,-0.7138925993275844
Arntl(+),-2.906348335537472,-2.665615591099002,-1.3825170211971687,-0.7974458939088686,-0.09066106326355361,2.628174244566689,-0.9250913596204657,-0.6969680426789503,3.3090797410421935,1.4047107623946649
Ascl1(+),10.2752949837834,16.066241706475132,-3.907155591317778,-1.0094840611219262,-3.416289894118118,-0.047680423020427555,-2.5115633542623343,-0.6759608214366655,-6.194950734027878,-12.142962603183367
Ascl2(+),4.4009164371906,5.166685556690623,-1.2583487292806717,-1.4538039761665555,1.7870040948808654,-1.8464128075187787,-0.18465257639520583,1.7250690794768506,-3.1857752448938412,-5.699608741315312
Atf1(+),1.2736643882179808,-1.3776441367362164,6.071967652341831,2.1815134865698167,1.7894511727421112,-1.757406244800929,1.0041669755185678,2.631890129054452,-3.5250836402437304,-2.4537672265757964
Atf2(+),-2.151228798884469,-8.114147670408649,3.839583952484739,1.16122926695704,-3.1237611391292424,-8.320361370938105,2.8543104049047643,2.278477254171837,11.020276911634266,10.89746026220267
Atf3(+),1.124994144801279,-0.8175590361911845,1.5595926645503728,-0.09814657823201603,7.118559685314373,5.955499431689285,-2.2130238260722055,-0.9290492261453146,-5.943685864167782,-10.893389186502823
Atf4(+),-6.496144640818756,-10.216634264722591,0.12082114994335186,-1.9721994279037547,5.151942900052827,-2.567615568601306,-4.1884270187415,-3.4908049190010058,19.228143881355567,2.471649807616004
Atf5(+),-2.6888146743090675,-0.9666441424112894,-1.1482058283112642,0.14917874938727657,1.8119844013811417,3.0402346246216916,-2.2629576414639287,-1.3332101646329921,-2.8401836672217384,1.490040438113389
Atf7(+),-14.388909416093629,-15.796113136037015,-4.898397912110702,-2.4628133451607406,14.660244774973997,16.587139482340742,1.0574755275768062,0.16582442554705562,-9.223176029286831,1.8135687761815462
