,condition_tvalue,abs_tvalue
Elf1(+),-7.6041107052230394,7.6041107052230394
Gatad1(+),-6.340450342635525,6.340450342635525
Cebpb(+),-5.613582016683433,5.613582016683433
Atf7(+),-5.57854596124214,5.57854596124214
Jund(+),-5.465444258473112,5.465444258473112
Ube2k(+),-5.407471061171237,5.407471061171237
Elf2(+),-5.33256581120834,5.33256581120834
Fli1(+),-4.635388934918921,4.635388934918921
Mtf2(+),-4.081388946624395,4.081388946624395
Spi1(+),3.890588443421387,3.890588443421387
Pparg(+),3.8149562168348043,3.8149562168348043
Bclaf1(+),-3.727406537643045,3.727406537643045
Gata3(+),-3.1971659000571933,3.1971659000571933
Stat5a(+),-3.0653418208527796,3.0653418208527796
Lef1(+),-2.875724436102701,2.875724436102701
Bptf(+),-2.8006931430366278,2.8006931430366278
Nfia(+),-2.73693171603627,2.73693171603627
Tcf12(+),-2.366198163337072,2.366198163337072
Relb(+),-2.1157480075081385,2.1157480075081385
Six3(+),-2.074461424492026,2.074461424492026
Zbtb20(+),-2.05393495968092,2.05393495968092
Ets1(+),2.0269670130455038,2.0269670130455038
Nfib(+),-1.8971433629654664,1.8971433629654664
Tcf4(+),-1.6048613633695044,1.6048613633695044
Ebf1(+),1.543444704543223,1.543444704543223
Pou3f1(+),-1.081423742690588,1.081423742690588
Rreb1(+),0.9716102456865648,0.9716102456865648
Pgr(+),-0.8682591630763425,0.8682591630763425
Stat3(+),0.6932252748920894,0.6932252748920894
Rora(+),0.5615754974312306,0.5615754974312306
Runx1(+),0.45162076994874334,0.45162076994874334
Ikzf1(+),0.36729399959240744,0.36729399959240744
E2f8(+),0.33943384633470375,0.33943384633470375
Ep300(+),0.3331658997104519,0.3331658997104519
Sox4(+),0.24312361550909894,0.24312361550909894
Erg(+),0.18230209883472479,0.18230209883472479
Maf(+),0.0976193021578336,0.0976193021578336
