cluster,target,spearman_r,spearman_p,n_cells
KO_DM,Dpyd,0.022797656277642943,0.5003919774183845,876
KO_DM,Sh3rf1,-0.02769718859043185,0.4129299340894632,876
KO_DM,Fam168a,-0.046586910006241426,0.1683188452152775,876
KO_DM,Ano4,-0.01155479845836985,0.7327167551677733,876
KO_DM,Itm2b,0.02871729965488172,0.3959280902757478,876
KO_DM,Stat1,-0.02705092635070329,0.42392089630015783,876
KO_DM,Cdc14a,0.054137486024037736,0.10933048353340995,876
KO_DM,Pdzrn3,-0.009665659523149114,0.7751266047913514,876
KO_DM,Slc12a2,0.028192309235973302,0.4046246097737476,876
KO_DM,Nrg2,0.09454631869324841,0.005100841740596785,876
KO_DM,Rabep2,0.03378371651073249,0.31790900182703746,876
KO_DM,Pip5k1b,0.04426618247312063,0.1905579794564687,876
KO_DM,H2-K1,0.048911845822875395,0.14804902015931354,876
KO_DM,Txnip,-0.04423541326748954,0.1908666869442946,876
KO_DM,Osmr,0.005536282904375106,0.8700253444108665,876
KO_DM,Rhoj,-0.0022967472539955403,0.9458807323001371,876
KO_DM,Me1,0.004544890539878747,0.8931455089444486,876
KO_DM,Gpc6,0.09892883598262901,0.0033783144091891902,876
KO_DM,Lpl,-0.001945255637634153,0.9541531556006456,876
KO_DM,Maml2,-0.01522717145094901,0.6526630745642997,876
KO_DM,Ppp3ca,-0.010165434100782345,0.7638358121601827,876
KO_DM,Slc28a3,0.01304675868242251,0.6997826873858208,876
KO_DM,Prickle2,-0.002833677712314665,0.9332555090360237,876
KO_DM,1700025G04Rik,0.032014227141611847,0.3439322537349032,876
KO_DM,Sox6,0.040953036024399016,0.22594275956191623,876
KO_DM,Hp,0.04398880890224882,0.1933541538200613,876
KO_DM,Rps15a,-0.03605231216162946,0.2864806534772201,876
KO_DM,Afap1l2,0.07214716633152925,0.03275325196723794,876
KO_DM,Auts2,0.059338901651365496,0.07920625246069557,876
KO_DM,Slc2a9,-0.056544006001476035,0.09442609529267754,876
KO_DM,Airn,0.02142530881455546,0.5265387559265209,876
KO_DM,Lbp,-0.03886772627276556,0.2504853572877385,876
KO_DM,Parm1,0.01890084610926823,0.576390309632119,876
KO_DM,Esr1,0.006986765559498109,0.8364029994103539,876
KO_DM,Esrrg,0.027590958690345658,0.4147249191165382,876
KO_DM,Khdrbs3,-0.047302924586658704,0.16186615529939788,876
KO_DM,Tgfb3,-0.014812746149816864,0.661520205687408,876
KO_DM,Neb,-0.06456148103584823,0.0561190615602592,876
KO_DM,Mapk4,0.004440635301257834,0.8955824620303707,876
KO_DM,Egfr,0.04595203554253201,0.17419986498323503,876
KO_DM,Dlg2,0.01705861829966581,0.6141174943061618,876
KO_DM,Met,-0.014558200565154895,0.6669840152709301,876
KO_DM,9530026P05Rik,0.037649626757079065,0.2656522861642433,876
KO_DM,Parp14,-0.03731660184533793,0.2699065512247553,876
KO_DM,Nudt4,0.017602822344510258,0.602859822127237,876
KO_DM,H2-Q6,-0.034487954770799925,0.3079200767554195,876
KO_DM,Foxp1,0.0652099999361523,0.05368895459987709,876
KO_DM,Grik3,-0.02052768920337384,0.5440098494540514,876
KO_DM,Pla2g4a,-0.03078094374854718,0.36285019145351116,876
KO_DM,Slmap,-0.07355506460025817,0.02949012509639216,876
KO_DM,Nr3c2,0.026660309567049574,0.43064612026809435,876
KO_DM,Alcam,0.04639432832789123,0.17008684447151315,876
KO_DM,Fgfr1,0.03991607735931799,0.23792407566022314,876
KO_DM,Etv6,-0.016236930448514122,0.6312880498268014,876
KO_DM,Smyd3,0.054592838936270933,0.1063762028173199,876
KO_DM,Rasgef1c,-0.005635786991810011,0.8677105964139151,876
KO_DM,Ano1,-0.01203465117705405,0.722067171603446,876
KO_DM,Rspo1,0.02911188600160905,0.3894665217125902,876
KO_DM,Gabrg3,-0.06625037133104729,0.04997406208244436,876
KO_DM,Thada,-0.04184412476561795,0.21599557619438312,876
KO_DM,Garnl3,0.1074863010812883,0.0014425671252109075,876
KO_DM,Parp8,-0.03827794615215685,0.2577518185353342,876
KO_DM,Kcnd2,-0.031073701818384335,0.3583015878015323,876
KO_DM,Sgms1,-0.0050790959297965605,0.8806748085188998,876
KO_DM,Ube2h,-0.014030437099728914,0.6783685004469684,876
KO_DM,Rps2,-0.02701104323535311,0.4246047373210574,876
KO_DM,Pdlim3,0.022195352526360963,0.5117821365500387,876
KO_DM,Igf1r,-0.05086505487859339,0.13250610943945867,876
KO_DM,St6gal1,0.0276169760128933,0.414284874613038,876
KO_DM,Zbtb20,-0.0076680281239540175,0.820709769003895,876
KO_DM,Ksr1,0.0013161193432948165,0.96897173409598,876
KO_DM,Slc5a7,-0.04148959562997813,0.21991478999678135,876
KO_DM,Runx1,-0.03047629100021531,0.3676217386058611,876
KO_DM,Cxadr,-0.0030979678429973014,0.927047021224697,876
KO_DM,Fam13b,-0.007657972071253254,0.8209409114444102,876
KO_DM,Glis3,0.07658258449473467,0.023406689000352338,876
KO_DM,Ndrg1,-0.028035913574104128,0.40723720545788444,876
KO_DM,Bcl2,0.0005642591352221298,0.9866945350533757,876
KO_DM,H2-Q7,0.009261470686128386,0.7842929140727604,876
KO_DM,Mphosph8,0.0015333663115998212,0.9638532640327662,876
KO_DM,Wfdc2,0.04831885388037016,0.1530329419422471,876
KO_DM,Rpl39,-0.01092474612565319,0.7467778692119409,876
KO_DM,Rps13,0.03776660931037165,0.26416887848902804,876
KO_DM,Erbb4,-0.014041609901202911,0.6781267175091923,876
KO_DM,Tshz2,0.14023234467986737,3.1112096175486916e-05,876
KO_DM,Trf,-0.03901069586386201,0.24874559635214946,876
KO_DM,Rpsa,-0.03068180210338702,0.3643987066615224,876
KO_DM,Nav2,0.004562646118080241,0.892730574238382,876
KO_DM,Pde7b,0.03983973289568992,0.23882355733369132,876
KO_DM,Prlr,0.05181204736604571,0.12543949104565538,876
KO_DM,Ednra,-0.013708887671852632,0.6853410109485321,876
KO_DM,B2m,0.005928784559489985,0.8609012852452375,876
KO_DM,Arl15,0.044757933514167715,0.18567394013587105,876
KO_DM,Patl2,-0.04680675759925882,0.1663174061754133,876
KO_DM,Rpl37a,0.04172137467747636,0.21734681943094913,876
KO_DM,Rpl26,0.02424737991486481,0.47353604601701593,876
KO_DM,0610040J01Rik,-0.049827707303779306,0.14059603678992197,876
KO_DM,Igfbp5,0.019253185864195468,0.56930093673581,876
KO_DM,Mfge8,0.0005336704721311373,0.9874157670233088,876
KO_DM,Dst,-0.004338255635185396,0.8979765315985995,876
KO_DM,Zbtb7c,0.03232723408511339,0.33923274446240204,876
KO_DM,Fut9,0.11620995476417509,0.000568378129340717,876
KO_DM,Abca1,0.00126283695516745,0.9702273023952701,876
KO_DM,Kitl,0.01278461058676008,0.7055308347615458,876
KO_DM,Dach1,0.08399711458827484,0.01288493505818372,876
KO_DM,Aldh1a3,0.02652481151052177,0.4329933407683205,876
KO_DM,Ptn,0.04943244302978035,0.14377645562575186,876
KO_DM,Deptor,0.0420252913087666,0.21401232929690803,876
KO_DM,Osgin2,0.0668250021469518,0.04801611353699337,876
KO_DM,Wls,-0.04811100598883879,0.15480967350181976,876
KO_DM,Lrrc7,-0.010795642222822232,0.7496697236280347,876
KO_DM,Arhgap26,-0.02063011294549681,0.542001838697564,876
KO_DM,Pde4b,0.10554784551213633,0.001758732693546939,876
KO_DM,Rps8,0.035496907726166815,0.2939742232063752,876
KO_DM,Rps20,0.004016402018956536,0.9055087706094556,876
KO_DM,Prkg1,-0.09515844880264818,0.004820202850224317,876
KO_DM,Lrrc4,-0.0061136508539221075,0.8566102344241298,876
KO_DM,Nxn,0.03970756208965363,0.2403864361772548,876
KO_DM,Il6ra,-0.039173514725173116,0.2467745895262804,876
KO_DM,Nhs,-0.0015898533794672588,0.9625226295514415,876
KO_DM,Rbm47,0.015589544242322062,0.6449582175975825,876
KO_DM,Pkp4,0.022331950369623682,0.5091871469388789,876
KO_DM,Gramd3,0.045614101614967845,0.17739205511625472,876
KO_DM,Dapk1,0.04270884350909775,0.20664753810417794,876
KO_DM,Pdzd2,-0.019937698750600565,0.5556479866295159,876
KO_DM,Zswim6,0.02771642808513665,0.41260533315814507,876
KO_DM,Ncald,0.026504027337920205,0.43335403567428754,876
KO_DM,Arhgap42,0.056812421280986236,0.09286969135024391,876
KO_DM,4931406C07Rik,-0.01238260296888221,0.7143782792738125,876
KO_DM,Gm15261,0.06792068379461244,0.04446089442131894,876
KO_DM,Folr1,0.007441696949867444,0.82591580760572,876
KO_DM,Nfib,0.11012187653022905,0.0010962283592468197,876
KO_DM,Hivep3,0.034117674655007015,0.3131460002194638,876
KO_DM,Ntn1,0.003330316301993405,0.9215925287197396,876
KO_DM,Rbms3,0.08392773866631309,0.012959782635834959,876
KO_DM,Lars2,0.041818381113384775,0.21627846286835073,876
KO_DM,Cachd1,-0.030867567114283675,0.3615005737164644,876
KO_DM,D17H6S56E-5,0.029990292903000308,0.3753138982044687,876
KO_DM,Tmsb4x,-0.04297224891005917,0.20385912706801168,876
KO_DM,Rpl17,-0.002457586637737553,0.9420972341393343,876
KO_DM,Tmprss13,0.018775437311047496,0.578923634690165,876
KO_DM,Rb1,-0.024214913664924065,0.474128688868351,876
KO_DM,Tanc2,0.056233643369646605,0.09625167460468492,876
