,Epi_Ctr9+,Epi_Kit+Elf5+,Epi_proliferating,BasalEpi_Acta2+Trp63
Aebp2(+),-7.867037944338182,8.39256177669625,-0.2740077200269724,-1.885509535123181
Ahr(+),-17.207722461274034,18.307027677509197,-2.488218955530343,-2.917597205792231
Alx4(+),-15.044386042669638,-10.589391733742971,-1.9283126619515791,29.30724878027908
Ar(+),-0.6535484952047445,2.534107525105771,-2.025428689567915,-1.2099426208635904
Arid3a(+),-2.1946019338505804,-8.769184694589397,-3.725196509010963,14.12026796740984
Arnt(+),1.4719586842980112,-10.609022844168784,8.596889774686895,6.110257636358784
Arntl(+),-0.2019374758974141,4.218116556222778,-1.8645961104405449,-3.618400248048438
Ascl1(+),-9.934820048439231,-1.532773513228925,-2.3952455599067455,12.45773596796115
Ascl2(+),-1.6208070386447857,-13.36159353721183,1.8804452859535257,15.810515008576989
Atf1(+),-14.5640365983317,8.028806879082925,4.075589672531857,2.3361511415987866
Atf2(+),23.496939336921805,-10.813948273695845,-3.36526930527124,-7.102731747588025
Atf3(+),-3.107908301654609,3.3827024056004444,3.1779382887108607,-2.5061571999080834
Atf4(+),-0.9849154658074584,6.521977890850549,-0.8603282223469652,-5.9864420939739835
Atf5(+),1.525849474759008,1.5819711364544595,0.033308156009702,-3.248795898716341
Bach1(+),-17.092906600276606,15.240035999443354,-2.228560835718492,-0.0131189378382956
Bach2(+),-42.11766612481798,12.973810451525749,6.568306264860458,15.945753425615669
Barx2(+),-38.41294502249198,101.0736072414378,-1.4397129278613088,-32.57387881876505
Batf(+),-2.5551693933349107,1.3171963388482977,9.871924482967732,-4.064451433242278
Batf3(+),-6.276795265958539,-2.1397156373261783,8.789902290648563,3.878414383862826
Bcl11a(+),-37.23536628437383,21.622521452612368,11.206132483972528,1.5881692548922637
Bcl11b(+),-8.007924363251039,-10.259021620745202,26.56154682609512,6.468624400854599
Bcl6(+),31.153534625262417,-10.86203392420121,-3.984063433904573,-12.534907761844352
Bcl6b(+),-20.39332542081477,-10.90214519304072,-0.5420127652900485,35.15018609510201
Bclaf1(+),13.591855700622071,3.149714537705175,-1.3390787541960565,-15.901163831014776
Bhlhe40(+),-1.3634893513688635,-1.2164208061234407,5.593243877912584,-0.1828578541665602
Bhlhe41(+),2.18165166792441,5.5106323842192335,-3.0467953474945184,-6.745800220517952
Bptf(+),-15.620761976561855,11.967554603783435,1.722720483602279,0.1634923848182211
Brca1(+),-9.361306861919198,-8.324727453126238,81.08118847727808,-7.512613556887526
Cdc5l(+),-3.8141136692693927,2.597961156812367,1.8743638334561128,-0.2926067006562098
Cebpa(+),-7.349625805799726,3.302864764919839,-1.3031777251455288,3.842500418609231
Cebpb(+),7.879159981497218,10.872876660743309,-1.5984182371080375,-19.54094484653292
Cebpd(+),-8.649389743214249,31.062864261896383,-4.134183091998778,-22.638023998441103
Cebpg(+),-10.027975241442729,11.105105248491768,0.9156816688402484,-3.474143516354
Chd1(+),31.00829792159904,-7.02899510862484,5.862501344182336,-22.74159724802234
Chd2(+),-12.879737026705104,-0.1254169795525843,4.510619342854338,9.886142119230874
Churc1(+),-8.323447707154907,7.175541314789357,3.792864015344559,-2.1934847605069865
Clock(+),47.346551311104314,-19.291735671830804,0.0769264083343562,-15.48947240565234
Creb1(+),-2.777724969133112,-0.1786359370621748,-0.7694873558815568,3.2201293513809044
Crem(+),2.3486701627192397,0.9103323626224148,-0.5117538051736332,-2.987432437273603
Ctnnb1(+),-25.348158307659407,37.88489209200924,-2.674615909894837,-13.44875606220282
Cux1(+),-0.7561772092781843,0.904777916082062,1.4919550464652802,-1.0694150648916856
Cux2(+),-9.015852547577824,9.227549618395807,-2.2866567435385767,-0.7176492854101314
Dbp(+),-10.158023463911263,2.3710970063110377,1.6959563062753389,5.9588391187812215
Dbx2(+),-5.123120418537675,-3.3977081374415774,0.989797641135184,8.219357370702808
Ddit3(+),-0.9808085859480906,4.531364845561417,-1.7130888810945968,-3.3100409514149383
Dlx1(+),-7.812933752160957,-0.8288369407553222,-0.9220672435615184,8.81565674458384
Dlx3(+),-11.330396332557653,13.89492779446412,-1.376940728075024,-4.104051091414177
Dlx4(+),-1.9269119110734207,4.36724686244934,-1.9179594675201483,-2.125253034750232
Dlx5(+),-2.495035733588246,5.143773073585676,-2.4842301763939703,-2.1709983457127886
Dpf2(+),-5.497045204128336,5.9747627076797265,1.2525705321661351,-2.18751363510214
Drap1(+),-9.578715357200904,7.748423658272466,-1.5550298413399144,1.0517537832643369
E2f1(+),-16.59384224823083,5.040331284703447,32.531213859010066,-5.311931933222894
E2f2(+),-10.884527290547734,-3.6840209620031423,50.5130392695799,-5.923705785240693
E2f3(+),-36.380526971044645,16.57939399437818,34.220340503894704,-3.687507360146835
E2f6(+),0.3502715024908091,11.341147183305068,-5.750612353914721,-10.146905396368714
E2f7(+),-13.39624453047493,-11.121610345926817,100.68692488152377,-2.678680758063423
E2f8(+),-18.980199014528505,1.697029006409967,79.12291631113852,-10.158766568554077
Ebf1(+),-24.949548692713503,2.188972398559504,9.621790313935682,15.011279405124451
Ehf(+),-35.50142572000254,87.88277902992377,-0.474974715726754,-32.10469802774962
Elf1(+),53.14568190661373,-5.113260941282175,-2.3197967769263523,-36.37373387855952
Elf2(+),15.308592572660244,7.63559657612558,2.1635452785269393,-25.576715759627792
Elf3(+),-6.4216789560307035,4.905229854605941,-3.5962918459590516,2.344858348656338
Elf4(+),-20.019934782992745,-7.361898052373348,32.58692569344202,11.68818201597269
Elf5(+),-40.62283486688739,78.78538748131658,-2.4695178164053706,-23.798642666989423
Elk1(+),-12.663126341165016,24.62664248372028,-1.3366211217292585,-13.845199495489268
Elk3(+),-11.635387967932688,1.5332184290996012,0.5662017663410389,8.875929500577039
Elk4(+),-18.293031928984036,10.578391241332232,-1.2051853010854392,5.4522918246899525
Emx2(+),-26.120186444879856,-11.913895193046876,-3.3364083448184036,46.92965595207014
En1(+),-4.8221376471763175,-5.273578306873614,-0.411784489441692,10.84400492110926
En2(+),-15.082552555152008,12.978583321806877,9.107711921840036,-5.122698720960274
Eomes(+),-5.1705116446985775,0.724219575501386,2.2485455963663816,2.9057638074824266
Ep300(+),6.38436732018085,7.2075430094449375,-3.779984801612174,-12.394030133653509
Erf(+),-10.322171467002072,4.707282714006591,-0.0279804926628696,4.345387483813051
Erg(+),-11.621920982611671,-7.325441813332115,0.90213580543012,19.40602373981146
Esr2(+),-5.688457279314416,0.3036950741985348,-2.209581575264447,6.165101340390079
Esrrb(+),4.875495918736391,-0.0409158691316549,0.0358030332579364,-4.575850575952437
Ets1(+),-17.52828528164863,-11.008218663184175,26.35589455426834,16.29725039465123
Ets2(+),-6.653161636687684,15.168602654511998,-3.5138319877133557,-8.706851185381185
Etv1(+),-15.908547688722711,0.5537704980406354,-0.4334710805021277,14.539576198077462
Etv3(+),-2.1422389760758054,1.2505368352872812,2.7753935304492976,-0.8056580585003866
Etv4(+),-9.751383833818156,-1.9783510720262347,-3.5308496148712116,13.428608035511312
Etv5(+),-13.833239107207852,-21.76268916529843,-5.256804277608316,48.79648523718212
Fli1(+),-18.560845153584484,-10.747126158807063,26.65395529811218,16.811670426388122
Fos(+),-6.539757956020612,3.180759665862672,1.2953546419597115,1.8959095071996317
Fosb(+),6.714683150994638,-5.052697135757548,-4.458662747210569,1.6537134651743914
Fosl1(+),-18.002636877652403,-17.53866194305369,-1.6552651910705178,44.237190346939265
Fosl2(+),-3.0024611199142894,3.136770217326847,0.2260895427566263,-0.8218324577906986
Foxa1(+),146.15352977629982,-28.515402882647987,-6.432537421406715,-23.924122303850265
Foxa2(+),-11.986048867535144,12.417805311814112,-2.041183633526708,-1.601126542415397
Foxa3(+),-10.760016804362149,-0.6528910867839617,6.900772090999333,7.304335319471626
Foxi1(+),-13.135240600112592,13.530199305462654,1.132203592281805,-3.3819820550746216
Foxj1(+),-10.660084198236865,4.4640626592272445,-0.5459478331928679,5.19618825389827
Foxj2(+),-8.641432246016604,9.63104723483942,0.791096259378481,-3.076555419696187
Foxj3(+),-4.753217472493688,-0.9551841654086638,-2.4889250120698256,6.865839347480109
Foxk1(+),-3.9442057849577634,3.945515066173369,-0.9632853844300704,-0.2384202107742186
Foxm1(+),-7.569860576225874,-10.524862416002332,91.85972264136949,-7.909754606635825
Foxo1(+),-39.39567031601941,2.8669430830916447,1.247367275626462,30.855541859848483
Foxo4(+),-4.409908842854589,5.4187098255410255,-0.2132812331627174,-1.8356766040957184
Foxo6(+),5.460956221725011,-0.3635474207919246,-1.2361900438372235,-4.106426915957964
Foxp1(+),7.050974187654498,-17.58493961374157,1.0144170315972552,12.229112216687708
Foxp3(+),-6.473582799296483,4.166630182375425,-0.56796345371084,1.6770705898352194
Gabpa(+),-7.612772315776018,6.173429392618908,-3.607328510509251,2.038266015040213
Gabpb1(+),-11.480351790759311,5.437201275070757,1.1692681323122165,3.9624713777887823
Gata1(+),-9.494935522785475,7.634234381685438,-1.9293535091151317,1.2924410335187817
Gata2(+),-18.70889907267217,29.137877790427694,-2.6906861709800474,-11.794267403493272
Gata3(+),145.40436045899972,-24.30833155996683,-6.028516392430193,-28.877135095649596
Gata4(+),-3.764170822042022,-1.351807728121139,-1.372439317766666,5.800812103821101
Gata6(+),-17.446936246741178,2.7038524291906927,-3.1192818663830884,14.81845660934
Gatad1(+),3.736485565466789,14.938628554097626,-1.2778982479318497,-20.256629760729417
Gbx1(+),-2.3273069028033553,3.862522686398997,-1.1024735894963755,-1.5963275406681048
Gcm1(+),-7.273563541573925,7.778767107205833,-2.317333944440655,-0.7143124056698203
Gfi1(+),-8.847835146977898,0.645949094418865,0.0434867304807881,7.579397311121587
Gmeb1(+),-9.249413273548248,-0.8077950575692533,14.402198611150082,2.389413080583123
Gmeb2(+),-1.527803849740358,0.5305220827765421,-0.0882916348266414,0.8886146658986538
Gpbp1l1(+),-0.1068956394547356,3.0200108130449,-2.587076255321077,-1.988234203667104
Grhl2(+),-3.0757028006055016,6.6178389154255495,-1.3623423601035505,-3.84578059883493
Gtf2b(+),-6.776854559349087,5.273739160948207,-2.711931261249486,1.811997795500972
Gtf2f1(+),-3.1913541135843637,0.264708537352628,4.097465245506105,0.6242735649935924
