,condition_tvalue,abs_tvalue
Etv5(+),-18.266340631792204,18.266340631792204
Pitx1(+),15.461752163822878,15.461752163822878
Gatad1(+),-12.400704318217608,12.400704318217608
Relb(+),-11.984518601403092,11.984518601403092
Junb(+),-11.127856547318453,11.127856547318453
Tfdp1(+),-10.728924490068527,10.728924490068527
E2f1(+),-10.503099966531758,10.503099966531758
Hoxb7(+),10.298332995368446,10.298332995368446
Hdx(+),-10.096965326370622,10.096965326370622
E2f3(+),-9.841554987331993,9.841554987331993
Nfkb2(+),-9.440747445134786,9.440747445134786
En1(+),9.401958904282411,9.401958904282411
Zfp687(+),8.678954416985315,8.678954416985315
Hltf(+),-8.454209604614212,8.454209604614212
Lhx8(+),8.431703363877565,8.431703363877565
Cebpb(+),-8.382675494851943,8.382675494851943
Etv1(+),8.164252469861886,8.164252469861886
Tead1(+),8.132217455332672,8.132217455332672
Zfp697(+),8.039279875653902,8.039279875653902
Zfp319(+),7.997038692252417,7.997038692252417
Zeb1(+),7.873288864469896,7.873288864469896
Ahr(+),-7.624082819367599,7.624082819367599
Mef2c(+),7.541699036734858,7.541699036734858
Sox9(+),-7.440858075512696,7.440858075512696
Etv4(+),-7.420685291289262,7.420685291289262
Stat1(+),-7.314390052166531,7.314390052166531
Cebpd(+),-7.225787827010054,7.225787827010054
Arid3a(+),-7.022657483579263,7.022657483579263
Pbx1(+),6.964202962323843,6.964202962323843
Srebf2(+),-6.935748405628949,6.935748405628949
Irf2(+),-6.522417719610265,6.522417719610265
E2f7(+),-6.405005900762783,6.405005900762783
Jund(+),-6.264153890198785,6.264153890198785
Nr1h4(+),6.1370497207893635,6.1370497207893635
Irf8(+),6.0715563580811125,6.0715563580811125
Ebf1(+),6.046388733078556,6.046388733078556
Hnf1a(+),-5.975857252209976,5.975857252209976
Foxa1(+),5.970939460396345,5.970939460396345
Tal1(+),-5.952482415801397,5.952482415801397
Zbtb20(+),5.6574960811737816,5.6574960811737816
Nfatc1(+),-5.541784244531408,5.541784244531408
Stat5a(+),-5.363388862599141,5.363388862599141
Stat2(+),-5.224150660725556,5.224150660725556
