,condition_tvalue,abs_tvalue
Stat5a(+),-36.9039204288568,36.9039204288568
Nfia(+),16.235791219451116,16.235791219451116
Stat5b(+),-16.20082304420931,16.20082304420931
Zfp398(+),-14.514249509122708,14.514249509122708
Irf9(+),-13.23484548393665,13.23484548393665
Hmgxb3(+),-12.34888898163417,12.34888898163417
Gata3(+),12.337326949823685,12.337326949823685
Tfap2b(+),11.94707469012744,11.94707469012744
Tcf12(+),11.815485764927505,11.815485764927505
Bclaf1(+),11.3195344705035,11.3195344705035
Hoxb2(+),-11.24588502614262,11.24588502614262
Nfe2(+),-11.143193212756744,11.143193212756744
Zfp3(+),-10.974030943064735,10.974030943064735
Fosb(+),-10.457074548623632,10.457074548623632
Mbd1(+),-9.771476973908843,9.771476973908843
E2f3(+),-9.732856730189114,9.732856730189114
Stat2(+),-9.608607642931428,9.608607642931428
Trp53(+),-9.574957962886447,9.574957962886447
Zfx(+),9.441340349617446,9.441340349617446
Sp6(+),-9.42850845971224,9.42850845971224
Sox4(+),-9.301715722395635,9.301715722395635
Zfp287(+),9.180290111980359,9.180290111980359
Zfp280d(+),8.76093330514062,8.76093330514062
Gatad1(+),-8.515594621578007,8.515594621578007
Myc(+),-8.500943930201922,8.500943930201922
Cebpd(+),-8.470346102105944,8.470346102105944
Tcf7l1(+),-8.325734586212944,8.325734586212944
Mafk(+),-8.191964838991828,8.191964838991828
Mxd1(+),-8.112508759621944,8.112508759621944
E2f1(+),-7.986618006813736,7.986618006813736
Meis1(+),7.916314595021546,7.916314595021546
Cebpg(+),-7.708811806861978,7.708811806861978
Jund(+),-7.691506619312998,7.691506619312998
Elf1(+),-7.583926211358029,7.583926211358029
Hes1(+),-7.345877772929875,7.345877772929875
Cebpb(+),-7.294553051969729,7.294553051969729
Etv4(+),-7.241985475067312,7.241985475067312
Ski(+),7.078556522441452,7.078556522441452
Foxo1(+),-6.835588061897113,6.835588061897113
Elf2(+),6.819904937121721,6.819904937121721
Stat1(+),-6.771859785299858,6.771859785299858
Spi1(+),-6.757183510475254,6.757183510475254
Zfp11(+),6.643329673900688,6.643329673900688
Ep300(+),6.6427887257016724,6.6427887257016724
Srebf2(+),-6.541320167448144,6.541320167448144
Elk3(+),-6.353113638908684,6.353113638908684
Tbl1xr1(+),6.254376763220323,6.254376763220323
Spib(+),-6.242267257776561,6.242267257776561
Chd1(+),6.001298581501025,6.001298581501025
Jun(+),-5.9954240098811376,5.9954240098811376
Ikzf2(+),-5.947271427133763,5.947271427133763
Irf3(+),-5.879547598395271,5.879547598395271
Zbtb20(+),5.741206374004102,5.741206374004102
Elf4(+),-5.571931754831996,5.571931754831996
Rfx2(+),-5.291562203650892,5.291562203650892
Clock(+),5.2790497026391,5.2790497026391
Ovol2(+),-5.2649429076310215,5.2649429076310215
Yy1(+),5.243003743069757,5.243003743069757
Irf4(+),-5.224810156951338,5.224810156951338
Foxa1(+),5.221357784398338,5.221357784398338
Ets2(+),-5.005231981079576,5.005231981079576
Foxj2(+),-4.865531096178255,4.865531096178255
Pbx4(+),-4.803384031230876,4.803384031230876
Tfdp1(+),-4.796259553665216,4.796259553665216
Smad1(+),-4.794511169520479,4.794511169520479
Stat4(+),-4.792104313360317,4.792104313360317
Lmx1a(+),-4.684121301126166,4.684121301126166
Ltf(+),-4.677737484781404,4.677737484781404
Zfp740(+),4.667081320669786,4.667081320669786
Hoxc4(+),-4.642003980662105,4.642003980662105
Nfatc2(+),-4.5251610441657375,4.5251610441657375
Myb(+),-4.522126331514518,4.522126331514518
E2f7(+),-4.514819742384878,4.514819742384878
Foxa2(+),-4.465165367254506,4.465165367254506
Mafa(+),-4.347119747080048,4.347119747080048
Churc1(+),-4.319256580970342,4.319256580970342
Ppara(+),-4.318809056246294,4.318809056246294
Relb(+),-4.292915138363551,4.292915138363551
Bcl11b(+),-4.233416411388473,4.233416411388473
Rest(+),4.17732391026434,4.17732391026434
Hoxa4(+),-4.161546328637558,4.161546328637558
Klf3(+),-4.150992108811808,4.150992108811808
Etv3(+),-4.080020770681722,4.080020770681722
Sox10(+),-4.035501842760402,4.035501842760402
Elk4(+),-4.027124416370053,4.027124416370053
Phf20(+),4.01265228410764,4.01265228410764
Klf4(+),-3.9828557444160975,3.9828557444160975
Tcf7l2(+),-3.9803417235700302,3.9803417235700302
Arnt(+),3.9527013712410333,3.9527013712410333
Zfy1(+),-3.9452633093740355,3.9452633093740355
Hmbox1(+),3.936827198308654,3.936827198308654
Zfp786(+),3.9211449923209094,3.9211449923209094
Nfya(+),-3.916007758510492,3.916007758510492
Junb(+),-3.901562124114594,3.901562124114594
Nrf1(+),3.867562536652461,3.867562536652461
Gfi1(+),-3.8486412319883776,3.8486412319883776
Maf(+),-3.836039658181066,3.836039658181066
Sp2(+),-3.8314530226886863,3.8314530226886863
Hdx(+),-3.8301278276214155,3.8301278276214155
Nfkb2(+),-3.8289843056533273,3.8289843056533273
Cebpa(+),-3.812379145454367,3.812379145454367
Nfatc1(+),-3.724001042847181,3.724001042847181
Tal1(+),-3.686276771065703,3.686276771065703
Foxm1(+),-3.6204260504836,3.6204260504836
E2f8(+),-3.5937446771903883,3.5937446771903883
Irf1(+),-3.5843502344655707,3.5843502344655707
Pitx1(+),3.560841628266073,3.560841628266073
Hoxa9(+),3.5584368669827526,3.5584368669827526
Pbx1(+),-3.546797545197397,3.546797545197397
Hes6(+),-3.5349112442591943,3.5349112442591943
Bcl6b(+),-3.5317156232401294,3.5317156232401294
Zbtb42(+),-3.5306340722371186,3.5306340722371186
Smarcc2(+),-3.511510614347266,3.511510614347266
E2f6(+),3.4923521867419236,3.4923521867419236
Zfp239(+),-3.4778187454203793,3.4778187454203793
Ikzf1(+),-3.4743386565155894,3.4743386565155894
Hdac2(+),-3.4665770293727,3.4665770293727
E2f2(+),-3.459182972742711,3.459182972742711
Pou2f1(+),3.439563492235609,3.439563492235609
Sirt6(+),-3.4355009364886477,3.4355009364886477
Hoxa7(+),-3.4238047323189007,3.4238047323189007
