regulon,BasalEpi_Acta2+Trp63,Epi_Ctr9+,Epi_Kit+Elf5+,Epi_proliferating
Aebp2(+),-0.03162309151822126,-1.7897533348243904,-4.035336417087444,-0.10958413887495615
Ahr(+),-7.624082819367599,-2.5937618712570742,-11.76711865215716,-2.645430760993998
Alx4(+),-1.0125407276390368,-1.569777870664328,5.80578592078885,-0.19474541089474756
Ar(+),0.21951371009192422,0.12733750085709725,-1.0921867513831962,0.9576867268224509
Arid3a(+),-7.022657483579263,0.7746032402486932,-0.9486276330144243,1.3447244938010308
Arnt(+),-0.6765698292113496,3.9527013712410333,1.953255214493823,1.106134999012434
Arntl(+),1.5240412729419028,-1.5344636763794597,0.946752251316627,-0.054497239449802254
Ascl1(+),2.412144437430103,0.6418813383373541,1.8155363696783704,0.019595982614767027
Ascl2(+),-1.3290854753661476,2.966807072086369,-3.0196243749823073,-0.6039473930438657
Atf1(+),0.010160088191610265,-1.240110869964512,0.3009564931872122,0.5013318688924491
Atf2(+),-1.2170889670581115,2.1396846558427693,0.8129698495822965,0.592174420746448
Atf3(+),0.5474124290221467,-0.2685286818739123,-1.1636020158957765,-0.4158113953095632
Atf4(+),-1.2508430774688115,-3.0107171347800272,-0.33586034740144116,-0.18858818866322735
Atf5(+),-1.211820773706401,-1.9322495266456163,-1.066283827267126,-0.40975616242080415
Bach1(+),-0.4522203725870472,-3.082988170645592,0.8585990228695233,0.1491893857458275
Bach2(+),1.2248557528843629,-3.0089566894431776,6.81139939424242,4.062694923880058
Barx2(+),-0.8044694804781902,-1.9570169116738694,16.2479780866092,-1.0976435776098443
Batf(+),0.08127566224560666,1.9479010681587616,-0.2359105864930697,-0.23659906520634208
Batf3(+),-4.513773216729081,-3.2123816555831657,-4.329500751743986,-1.4891746550349172
Bcl11a(+),0.7495812323430461,-0.5572955744632674,1.067457687585224,4.403374355636231
Bcl11b(+),-4.07550761274559,-4.233416411388473,-4.395644630336929,0.0604498425065714
Bcl6(+),-1.828086673412132,-2.832098717665541,-1.249791141373665,-0.7405655725538903
Bcl6b(+),-2.921230287518041,-3.5317156232401294,4.544275079696123,0.30746052188709505
Bclaf1(+),1.8610568772655198,11.3195344705035,1.4217797580295852,0.13634547189321378
Bhlhe40(+),-1.4474224013132113,-0.044189195417233505,-0.9756899354223235,-1.1669493580256987
Bhlhe41(+),-1.6462297239808255,2.66815097738023,0.6639415283636785,-0.9033105948126959
Bptf(+),1.3996079571904296,-0.6857728072679515,-3.1486333993819513,0.44140282172404915
Brca1(+),-1.285885404669856,-2.0630865610639395,-6.330212217424893,-0.07057445396209602
Cdc5l(+),-0.03666677295438547,-0.6548311844828686,-2.3215988785931954,-0.5205313688762284
Cebpa(+),-1.8640570395500422,-3.812379145454367,0.9461210176996152,2.030299336161667
