cell_type,sample,rank,gene,degree_centrality_all
Epi_proliferating,KO_DM,1,Tcf7l2,0.2693452380952381
Epi_proliferating,KO_DM,2,Ets1,0.18898809523809523
Epi_proliferating,KO_DM,3,Fli1,0.16517857142857142
Epi_proliferating,KO_DM,4,Pax5,0.14434523809523808
Epi_proliferating,KO_DM,5,Tfap2b,0.13839285714285715
Epi_proliferating,KO_DM,6,Mef2c,0.13541666666666666
Epi_proliferating,KO_DM,7,Tfap2c,0.12797619047619047
Epi_proliferating,KO_DM,8,Trp63,0.10416666666666667
Epi_proliferating,KO_DM,9,Npas3,0.09821428571428571
Epi_proliferating,KO_DM,10,Zbtb7c,0.09523809523809523
Epi_proliferating,KO_DM,11,Ebf1,0.08928571428571429
Epi_proliferating,KO_DM,12,Hes1,0.08333333333333333
Epi_proliferating,KO_DM,13,Bcl11b,0.08035714285714286
Epi_proliferating,KO_DM,14,Stat1,0.07291666666666667
Epi_proliferating,KO_DM,15,Nfib,0.06994047619047619
Epi_proliferating,KO_DM,16,Etv6,0.06547619047619048
Epi_proliferating,KO_DM,17,Nfatc2,0.0625
Epi_proliferating,KO_DM,18,Creb5,0.05654761904761905
Epi_proliferating,KO_DM,19,Bcl11a,0.05357142857142857
Epi_proliferating,KO_DM,20,Nfia,0.050595238095238096
Epi_proliferating,KO_DM,21,Maf,0.047619047619047616
Epi_proliferating,KO_DM,22,Tcf4,0.044642857142857144
Epi_proliferating,KO_DM,23,Nr4a3,0.043154761904761904
Epi_proliferating,KO_DM,24,Rora,0.041666666666666664
Epi_proliferating,KO_DM,25,Foxa1,0.04017857142857143
Epi_proliferating,KO_DM,26,Foxn3,0.03720238095238095
Epi_proliferating,KO_DM,27,Klf8,0.03720238095238095
Epi_proliferating,KO_DM,28,Pbx1,0.03422619047619048
Epi_proliferating,KO_DM,29,Ikzf1,0.03422619047619048
Epi_proliferating,KO_DM,30,Sin3a,0.03273809523809524
Epi_proliferating,KO_DM,31,Bach2,0.02976190476190476
Epi_proliferating,KO_DM,32,Mybl1,0.028273809523809524
Epi_proliferating,KO_DM,33,Runx1,0.026785714285714284
Epi_proliferating,KO_DM,34,Elf4,0.026785714285714284
Epi_proliferating,KO_DM,35,Hivep2,0.026785714285714284
Epi_proliferating,KO_DM,36,Lef1,0.026785714285714284
Epi_proliferating,KO_DM,37,Klf12,0.026785714285714284
Epi_proliferating,KO_DM,38,Plagl1,0.025297619047619048
Epi_proliferating,KO_DM,39,Klf7,0.023809523809523808
Epi_proliferating,KO_DM,40,Irf8,0.023809523809523808
Epi_proliferating,KO_DM,41,Glis3,0.023809523809523808
Epi_proliferating,KO_DM,42,Sp4,0.023809523809523808
Epi_proliferating,KO_DM,43,Irx4,0.022321428571428572
Epi_proliferating,KO_DM,44,Fos,0.020833333333333332
Epi_proliferating,KO_DM,45,Esrrg,0.020833333333333332
Epi_proliferating,KO_DM,46,Mnt,0.020833333333333332
Epi_proliferating,KO_DM,47,Thrb,0.020833333333333332
Epi_proliferating,KO_DM,48,Atf1,0.020833333333333332
Epi_proliferating,KO_DM,49,Runx3,0.019345238095238096
Epi_proliferating,KO_DM,50,Tcf7,0.019345238095238096
Epi_proliferating,WT_DM,1,Tcf7l2,0.18568994889267462
Epi_proliferating,WT_DM,2,Ets1,0.16695059625212946
Epi_proliferating,WT_DM,3,Tfap2c,0.15843270868824533
Epi_proliferating,WT_DM,4,Tfap2b,0.1567291311754685
Epi_proliferating,WT_DM,5,Fli1,0.13798977853492334
Epi_proliferating,WT_DM,6,Mef2c,0.1362862010221465
Epi_proliferating,WT_DM,7,Pax5,0.131175468483816
Epi_proliferating,WT_DM,8,Hes1,0.11584327086882454
Epi_proliferating,WT_DM,9,Sin3a,0.10391822827938671
Epi_proliferating,WT_DM,10,Klf12,0.10221465076660988
Epi_proliferating,WT_DM,11,Npas2,0.10051107325383304
Epi_proliferating,WT_DM,12,Stat1,0.09540034071550256
Epi_proliferating,WT_DM,13,Ebf1,0.08347529812606473
Epi_proliferating,WT_DM,14,Trp63,0.07666098807495741
Epi_proliferating,WT_DM,15,Npas3,0.07495741056218058
Epi_proliferating,WT_DM,16,Klf8,0.06132879045996593
Epi_proliferating,WT_DM,17,Sp4,0.06132879045996593
Epi_proliferating,WT_DM,18,Fos,0.06132879045996593
Epi_proliferating,WT_DM,19,Klf7,0.05281090289608177
Epi_proliferating,WT_DM,20,Thrb,0.05281090289608177
Epi_proliferating,WT_DM,21,Creb5,0.05110732538330494
Epi_proliferating,WT_DM,22,Nfib,0.05110732538330494
Epi_proliferating,WT_DM,23,Bcl11a,0.04770017035775128
Epi_proliferating,WT_DM,24,Pgr,0.04599659284497445
Epi_proliferating,WT_DM,25,Etv6,0.04599659284497445
Epi_proliferating,WT_DM,26,Rora,0.04599659284497445
Epi_proliferating,WT_DM,27,Foxn3,0.04599659284497445
Epi_proliferating,WT_DM,28,Zbtb7c,0.044293015332197615
Epi_proliferating,WT_DM,29,Runx1,0.044293015332197615
Epi_proliferating,WT_DM,30,Tcf4,0.044293015332197615
Epi_proliferating,WT_DM,31,Bach2,0.04258943781942078
Epi_proliferating,WT_DM,32,Nfia,0.04258943781942078
Epi_proliferating,WT_DM,33,Bcl11b,0.04088586030664395
Epi_proliferating,WT_DM,34,Esrrg,0.039182282793867124
Epi_proliferating,WT_DM,35,Mybl1,0.03747870528109029
Epi_proliferating,WT_DM,36,Hivep2,0.03577512776831346
Epi_proliferating,WT_DM,37,Nr3c2,0.03577512776831346
Epi_proliferating,WT_DM,38,Lef1,0.034071550255536626
Epi_proliferating,WT_DM,39,Maf,0.034071550255536626
Epi_proliferating,WT_DM,40,Ar,0.034071550255536626
Epi_proliferating,WT_DM,41,Irx4,0.03236797274275979
Epi_proliferating,WT_DM,42,Jdp2,0.03236797274275979
Epi_proliferating,WT_DM,43,Esr1,0.03236797274275979
Epi_proliferating,WT_DM,44,Nfatc2,0.03236797274275979
Epi_proliferating,WT_DM,45,Bcl3,0.030664395229982964
Epi_proliferating,WT_DM,46,Tbx21,0.030664395229982964
Epi_proliferating,WT_DM,47,Prdm1,0.028960817717206135
Epi_proliferating,WT_DM,48,Pura,0.028960817717206135
Epi_proliferating,WT_DM,49,Irf8,0.028960817717206135
Epi_proliferating,WT_DM,50,Kcnq5,0.028960817717206135
