,BasalEpi_Acta2+Trp63_KO_DM,BasalEpi_Acta2+Trp63_WT_DM,Epi_Ctr9+_KO_DM,Epi_Ctr9+_WT_DM,Epi_Kit+Elf5+_KO_DM,Epi_Kit+Elf5+_WT_DM,Epi_proliferating_KO_DM,Epi_proliferating_WT_DM
Aebp2(+),-1.0196600326682619,-1.0284096197965238,-3.4495807498456985,-7.522099193744256,9.054078218782875,1.2308409196704386,0.5232838905133083,0.145077003055366
Ahr(+),3.6643340367765767,-6.239674132283199,-8.786396719352068,-15.961961377545862,22.32573773617589,0.14765777818589734,1.3495857357707832,-2.2968112968570003
Alx4(+),19.305743911326477,16.7701173838321,-6.689367966941492,-12.409949523551301,-8.90619624893369,-3.634510531344026,-1.2657805081158409,-1.1496477726185634
Ar(+),-0.9494102489652146,-0.6007922989258894,-0.4546276072377634,-0.475302494794679,2.390227924143657,0.6611063467298061,-2.065332797209231,-0.250094836028481
Arid3a(+),16.224084820778764,2.3757504293555396,-2.216457506094625,-1.9664162715737437,-4.383823612699443,-5.758872502828809,-2.971896518698531,-0.5500878915396475
Arnt(+),4.484665986283014,3.285731247531011,-2.5672540984562193,3.795553773527905,-7.534707779260989,-5.109289712213839,6.448416835893288,5.1145304142250465
Arntl(+),-3.1055004609021264,-1.6417742502091242,1.4520027009963554,-1.0477112671167994,1.5511329773117029,3.4166389856827157,-1.7219293708273802,-0.9130493707381699
Ascl1(+),5.446532639196579,10.547000349943772,-4.85516286514476,-7.417899597035344,-2.2499089149458764,0.3278244197492707,-2.302238301556304,-1.1638825110996653
Ascl2(+),11.887371622338101,8.446022480683478,-3.1764738555215715,-0.06808322326656735,-6.487593072018436,-9.107854638967005,2.250888042810071,0.33334296185047696
Atf1(+),1.651054908874695,1.618121218864681,-6.409562364956409,-12.42793415033113,4.468314668355615,5.167510594286375,3.731621777772206,2.480892115705251
Atf2(+),-4.020959296009959,-5.575619147427127,9.597342976362457,20.209833800698117,-6.983214308240816,-5.984503323734486,-3.9344670547018348,-1.3207475307805443
Atf3(+),-1.8472776559964477,-1.257482775579374,-1.47920274887331,-2.873975900509094,3.1335709045040043,1.0003155828603496,3.263703347488455,1.1018085016784613
Atf4(+),-3.0902569429648445,-4.523939300496156,1.9574422122852482,-2.8987802226852053,4.133716658076099,3.7070037609612063,-0.3770714906993284,-0.3828723075079909
Atf5(+),-1.5080826681745376,-2.57009799074032,2.4828205409784463,-0.41387223960343866,1.8836750389164498,0.10662810398122637,0.5491010843105081,-0.3068924861394526
Bach1(+),0.37594803352628314,-0.20198057218513893,-6.931150571205276,-14.711946979211119,7.9221645991207605,10.000666490902777,-1.6396214086819876,-0.7054299024533669
Bach2(+),9.563981011117173,10.982945368693,-16.489269504381635,-32.43218428633131,3.003937327125844,12.358400331107578,3.1680492000426024,8.471372255974138
Barx2(+),-19.886593875848632,-19.713298750619433,-15.709701377965784,-28.58945299008295,25.521031228891964,51.855319380080125,-1.097610074113235,-1.4828629692776378
Batf(+),-2.6824345847757214,-2.5075405549347924,-2.854208686931743,-1.1525134261195784,0.982178589749057,0.6392650882188644,8.94565422791041,4.043815590183849
Batf3(+),5.632727871879366,-0.0714008860614925,-2.6904333759032455,-6.842344103730735,1.285144064359021,-3.431164461867903,10.998230054006042,0.2092153354439209
Bcl11a(+),0.7442254961211962,1.680534372188556,-16.145335382016658,-28.779228639085396,11.563834709335453,13.429047189514732,6.628191274915512,12.336584531346212
Bcl11b(+),7.768628717407143,1.2072982305254316,-3.201452478636706,-8.689541211019263,-4.156492213109424,-7.418862013865233,23.842668325920204,11.802555031167712
Bcl6(+),-7.406448517010969,-8.908714020951399,17.72050871642923,21.279572768913933,-5.546803063809388,-7.359024559741044,-3.5431928021653305,-2.4132464341664357
Bcl6b(+),24.462983335487454,18.020002818935225,-8.748360596352004,-17.27744452306668,-8.672619294387887,-4.081742209934837,-0.1804600214752353,0.5574501890042601
Bclaf1(+),-11.850248982986262,-8.97651137296362,-2.2991696746244568,19.203564801129,0.4955247170488929,2.776013075789779,-2.5561540444329998,-1.1709000362912714
Bhlhe40(+),1.056812258380959,-1.1031356446705118,-0.882293849001476,-1.523193073427575,0.09417685337041207,-1.4075799112470666,6.078301698324794,1.136979912780877
Bhlhe41(+),-3.337706990984655,-5.557006198710012,-0.8843983685131469,3.399329274835329,2.588616654969551,3.8815301154938666,-2.5145245872907487,-2.153942449901299
Bptf(+),-0.7333334116395783,1.3105197893025355,-7.303851809400507,-13.236607758827535,9.662848790418026,4.691880138252155,1.9040430346997446,1.4750924913811405
Brca1(+),-3.918825643473561,-4.773174114622122,-4.7893388172061835,-9.499836533914586,-1.8001348008508253,-7.381613509639722,62.300817243299946,24.21024671416598
Cdc5l(+),-0.046646954029879104,-0.0965359372809255,-1.9144306059191867,-3.6221681691008056,3.796108591446877,-0.517763104393979,2.4099160984416432,0.38761445500768815
Cebpa(+),3.750097982033254,1.4714714451315454,0.6485490122549282,-9.444662782271081,1.3093038414036717,2.746469322363012,-1.4405937120730776,1.1223720487771693
Cebpb(+),-9.08495846696183,-14.411497110136324,8.36606004134885,0.4776384024104499,15.960592578205151,-2.2255339486308143,1.9161092408816491,-3.0822853887002912
Cebpd(+),-10.683460998985577,-16.197140954080467,-0.2778681191838103,-12.176776067305127,26.678946635550012,8.792795278118813,-0.21404627821029862,-3.8130585481596775
Cebpg(+),0.2501945709176816,-4.0981325060981755,0.1580193172025121,-13.270557514059837,8.894696175776435,4.539790653834152,3.2360488238513616,-1.2965344117108126
Chd1(+),-15.919443487744813,-12.992079768086997,9.20014243181562,28.860707886341892,-2.99145403810244,-5.56849952499141,4.245578200727158,1.9256575741603414
Chd2(+),4.8371135771707285,8.072611449414866,-8.85905295220763,-8.491367639523737,1.1142206291870083,-1.1849196028755433,3.6304187903015532,2.9765575351825873
Churc1(+),-0.46851073570158364,-1.8527435944322752,-1.8279506709366131,-9.527405841351397,7.7899904554452934,1.086416972307041,4.382947954262733,1.8934108911711731
Clock(+),-10.60835444498921,-9.70323048846708,14.85907579025916,40.55239801104897,-10.940984984899059,-11.562207450810122,-1.0355543457718595,-0.9047311611071259
Creb1(+),-0.22944402183667625,4.419663884092748,-2.0997607722540677,-1.5267468965435307,0.7613199532038526,-0.9837814833122138,-0.2729959734460796,-1.328750458299151
Crem(+),-1.0737364301484391,-2.6315098909973473,1.4817018020369472,1.082785052075596,2.606851594626127,-1.369011850770591,0.8462783624291539,-1.8437006083445915
Ctnnb1(+),-7.265512543194289,-9.66953080553013,-10.799852981768229,-21.020091725390483,19.143270082877624,21.69906417930078,-1.43464020639198,-1.4845333856250214
Cux1(+),0.3445500781283896,-1.5144075908611472,1.0233752655702062,-2.2161988878138,1.681901021939284,-0.4474810955045984,2.4466508456124063,-0.46983967557040746
Cux2(+),-0.791134731422594,-0.3172763932665563,-3.8959528754142405,-6.8806006691130515,1.2685886961725892,9.523405198270408,-2.206690772399183,-1.3921156232402092
Dbp(+),1.0186447562813878,6.846607254937273,-5.394957165208113,-7.758337482943026,2.217857244871766,0.6521901756040943,1.992482585480596,-0.01789740936402962
Dbx2(+),2.562884995804249,8.013984496406394,-2.44031081463418,-3.662445393508932,-2.8142459788039234,-1.3286020204146294,-0.18772789799490242,1.8066446410882984
Ddit3(+),-0.7961521127111229,-3.49999349652554,-2.5392571952634304,0.5309884399364335,3.5451873684699637,1.8900224666875618,-1.4614132183431696,-0.6582787700982247
Dlx1(+),1.6889982604351157,9.695605517402575,-3.670485691961123,-5.753492092480139,-1.3293313137922285,0.23345624617829644,-0.8329156978693276,-1.0615330615978706
Dlx3(+),-3.1737437961893993,-2.2034265166819105,-5.142085287535443,-8.931161372843885,5.314824804085389,10.951381799576655,-0.8448442231416383,-1.5320570932608326
Dlx4(+),-0.9939735290893383,-1.9108233636083267,-0.4776004589816213,-1.4645889640183358,-0.06686727459210187,5.143698103714674,-1.8512720607158857,-1.0842452274267727
Dlx5(+),-1.484494740201221,-1.2529070158053977,-0.07625674190979669,-2.9745406244926866,3.6780249566545984,2.500763298042898,-2.228268211064512,-0.6300175872985135
Dpf2(+),-1.4482710678821924,-1.3835729857534234,-2.3332588268402104,-4.590078013097943,2.1824655536468587,4.900643537762561,1.2828600244657105,0.24349997455575245
Drap1(+),0.019325710978583707,1.4538804218142263,-3.6547035695373835,-8.447986557663905,4.11272489219995,5.11913598278681,-0.928259452037088,-1.1120969176615467
E2f1(+),1.9159457363711043,-6.919179883419182,-5.259540825876099,-18.656176604848476,12.591727008890267,-5.627720983790497,34.62836495152579,6.663989628609557
E2f2(+),-1.8637740227298072,-4.774332845701066,-5.150258733813703,-11.060188853101273,1.0140053786548213,-4.750251716919563,46.53811583391945,14.620040109019143
E2f3(+),2.483982208879948,-5.432868620623727,-12.859857072844266,-32.979701982011925,17.48862042833036,2.1996795165556837,34.90422413625607,8.657145193067347
E2f6(+),-4.394565003510988,-8.684286834920034,-2.6301918387749046,1.950591297637847,9.01863020418234,4.491015093101592,-4.681379475170114,-2.785693052333677
E2f7(+),0.59896874737253,-3.028236143300832,-6.618617563001477,-12.963979768583178,-4.160018668090328,-8.082116145782129,74.4913577050638,24.60960892818379
E2f8(+),-6.173746608360981,-6.30337413406071,-8.757872535732213,-16.36922234393557,-2.003738906185131,4.24964134491057,57.93816199986108,26.475727340061468
Ebf1(+),5.778816243969016,13.676691426356497,-10.290605641648652,-20.1612378844113,-0.4725485153233577,3.0673332202681296,5.365586506159748,10.121792493137704
Ehf(+),-20.492130449408982,-18.710054292749913,-14.381795049103228,-26.42209587706961,22.11738233124833,51.599762018928224,-0.3028018072306303,-1.5358832945543008
Elf1(+),-20.84471392115475,-22.75564974653404,27.91639917770549,32.22106079897305,-1.4650748419554762,-4.689126925517052,-1.780937663331952,-2.319594782302294
Elf2(+),-15.002705031401021,-17.07013099443829,1.9565345979968136,16.572366609120934,5.633649384528137,3.3073382947493934,2.6371171987798276,-1.5598373053415173
Elf3(+),3.1842480102083197,0.1299409413307486,-1.884809204881874,-6.743224788160072,4.730711560952292,1.3083702244219269,-2.8503396945585115,-0.8072848164742831
Elf4(+),9.393829885098729,6.256706230383034,-8.356339721372182,-18.450633251499767,-2.6883232306682543,-5.447404280801936,29.094795843687724,13.637872757839745
Elf5(+),-14.583749730595672,-14.699999949301757,-16.796871061196224,-31.44696584975343,31.198530510664305,35.46279419759994,-0.8698795929973155,-1.9301223613885694
Elk1(+),-7.333880124160841,-9.92637017556865,-5.029041529790607,-11.896291743318514,16.627965472752468,11.666918367770158,0.3817667864573476,-1.5611410745305179
Elk3(+),8.78081232499984,3.1540119121573227,-2.5648586717328303,-12.789440039306854,2.62749092382705,-0.4700811454345274,0.9873606353262675,1.700701309431748
Elk4(+),4.5035853918421,2.863358985298343,-7.066841959117457,-16.272612521239243,5.4816689052274405,7.155596862016912,0.4717571235380625,-2.020040829270558
Emx2(+),32.21537664055954,21.656431379721074,-12.960095045125827,-20.410347595180774,-8.281694256573546,-5.533460519332224,-2.988450707744398,0.43201906165051773
En1(+),0.16079110485225834,13.71093767714599,-3.096683694919289,-2.059776254456435,-4.300102934408767,-2.213036788903098,-1.5304960974388926,0.17721468851005087
En2(+),-2.6306739942414668,-3.276637231754251,-6.983749446999601,-13.752494103416383,12.667220138053004,3.0749825202892795,9.889918206284156,3.1479702742161875
Eomes(+),3.070151120250562,0.7035395510393907,-2.688950510724066,-4.010207853548187,-1.9081021031338958,2.7313667723253596,2.757792931388161,-0.41482777911035973
Ep300(+),-7.942602580315018,-8.206257440765539,-2.2648111532019977,9.358735899827176,6.607475289504277,1.8968160361075321,-4.085664842055239,-1.0993420232902285
Erf(+),5.87448306338467,0.12424996694605488,-4.016579279738632,-9.932460824866743,3.6938212007790745,2.1390074785560826,1.1998713033218849,-0.5089242472934477
