,BasalEpi_Acta2+Trp63,Epi_Ctr9+,Epi_Kit+Elf5+,Epi_proliferating
Aebp2(+),-1.885509535123181,-7.867037944338182,8.39256177669625,-0.27400772002697243
Ahr(+),-2.917597205792231,-17.207722461274034,18.307027677509197,-2.488218955530343
Alx4(+),29.30724878027908,-15.044386042669638,-10.589391733742971,-1.9283126619515791
Ar(+),-1.2099426208635904,-0.6535484952047445,2.534107525105771,-2.025428689567915
Arid3a(+),14.12026796740984,-2.1946019338505804,-8.769184694589397,-3.7251965090109636
Arnt(+),6.110257636358784,1.4719586842980112,-10.609022844168784,8.596889774686895
Arntl(+),-3.618400248048438,-0.20193747589741418,4.218116556222778,-1.8645961104405449
Ascl1(+),12.45773596796115,-9.934820048439231,-1.532773513228925,-2.3952455599067455
Ascl2(+),15.810515008576989,-1.6208070386447855,-13.36159353721183,1.8804452859535254
Atf1(+),2.3361511415987866,-14.564036598331699,8.028806879082925,4.075589672531857
Atf2(+),-7.102731747588025,23.496939336921805,-10.813948273695843,-3.36526930527124
Atf3(+),-2.5061571999080834,-3.107908301654609,3.3827024056004444,3.1779382887108607
Atf4(+),-5.9864420939739835,-0.9849154658074584,6.521977890850549,-0.8603282223469652
Atf5(+),-3.248795898716341,1.525849474759008,1.5819711364544597,0.033308156009702036
Bach1(+),-0.01311893783829561,-17.092906600276606,15.240035999443354,-2.228560835718492
Bach2(+),15.945753425615669,-42.11766612481798,12.973810451525747,6.568306264860458
Barx2(+),-32.57387881876505,-38.41294502249198,101.0736072414378,-1.4397129278613088
Batf(+),-4.064451433242278,-2.5551693933349107,1.3171963388482975,9.871924482967732
Batf3(+),3.8784143838628267,-6.276795265958539,-2.1397156373261783,8.789902290648563
Bcl11a(+),1.5881692548922635,-37.23536628437383,21.622521452612368,11.206132483972528
Bcl11b(+),6.468624400854599,-8.007924363251039,-10.259021620745202,26.56154682609512
Bcl6(+),-12.534907761844352,31.153534625262417,-10.86203392420121,-3.984063433904573
Bcl6b(+),35.15018609510201,-20.39332542081477,-10.90214519304072,-0.5420127652900485
Bclaf1(+),-15.901163831014777,13.591855700622073,3.149714537705175,-1.3390787541960563
Bhlhe40(+),-0.1828578541665602,-1.3634893513688635,-1.2164208061234407,5.593243877912584
Bhlhe41(+),-6.745800220517952,2.18165166792441,5.5106323842192335,-3.0467953474945184
Bptf(+),0.16349238481822112,-15.620761976561857,11.967554603783435,1.722720483602279
Brca1(+),-7.512613556887526,-9.361306861919198,-8.324727453126238,81.08118847727808
Cdc5l(+),-0.29260670065620986,-3.8141136692693927,2.597961156812367,1.8743638334561126
Cebpa(+),3.842500418609231,-7.349625805799726,3.302864764919839,-1.3031777251455288
Cebpb(+),-19.54094484653292,7.879159981497218,10.872876660743307,-1.5984182371080375
Cebpd(+),-22.638023998441106,-8.649389743214249,31.062864261896383,-4.134183091998778
Cebpg(+),-3.4741435163539998,-10.027975241442729,11.105105248491768,0.9156816688402483
Chd1(+),-22.74159724802234,31.00829792159904,-7.02899510862484,5.862501344182336
Chd2(+),9.886142119230874,-12.879737026705104,-0.12541697955258435,4.510619342854338
Churc1(+),-2.1934847605069865,-8.323447707154907,7.175541314789357,3.792864015344559
Clock(+),-15.48947240565234,47.346551311104314,-19.291735671830804,0.07692640833435621
Creb1(+),3.2201293513809044,-2.777724969133112,-0.17863593706217487,-0.7694873558815568
Crem(+),-2.987432437273603,2.3486701627192397,0.9103323626224148,-0.5117538051736332
Ctnnb1(+),-13.44875606220282,-25.348158307659407,37.88489209200924,-2.6746159098948366
Cux1(+),-1.0694150648916856,-0.7561772092781843,0.904777916082062,1.4919550464652802
Cux2(+),-0.7176492854101314,-9.015852547577824,9.227549618395809,-2.2866567435385767
Dbp(+),5.9588391187812215,-10.158023463911265,2.3710970063110377,1.6959563062753387
Dbx2(+),8.219357370702808,-5.123120418537675,-3.3977081374415774,0.989797641135184
Ddit3(+),-3.3100409514149383,-0.9808085859480906,4.531364845561417,-1.7130888810945968
Dlx1(+),8.81565674458384,-7.812933752160957,-0.8288369407553222,-0.9220672435615184
Dlx3(+),-4.104051091414177,-11.330396332557653,13.89492779446412,-1.376940728075024
Dlx4(+),-2.125253034750232,-1.9269119110734207,4.36724686244934,-1.9179594675201483
Dlx5(+),-2.1709983457127886,-2.495035733588246,5.143773073585676,-2.4842301763939703
Dpf2(+),-2.18751363510214,-5.497045204128336,5.9747627076797265,1.2525705321661353
Drap1(+),1.0517537832643367,-9.578715357200904,7.748423658272466,-1.5550298413399144
E2f1(+),-5.311931933222894,-16.59384224823083,5.040331284703447,32.531213859010066
E2f2(+),-5.923705785240693,-10.884527290547734,-3.6840209620031423,50.5130392695799
E2f3(+),-3.687507360146835,-36.380526971044645,16.57939399437818,34.220340503894704
E2f6(+),-10.146905396368714,0.35027150249080913,11.341147183305068,-5.750612353914721
E2f7(+),-2.678680758063423,-13.39624453047493,-11.121610345926815,100.68692488152377
E2f8(+),-10.158766568554075,-18.980199014528502,1.697029006409967,79.12291631113852
Ebf1(+),15.011279405124453,-24.949548692713503,2.1889723985595038,9.621790313935682
Ehf(+),-32.10469802774962,-35.50142572000254,87.88277902992377,-0.47497471572675404
Elf1(+),-36.37373387855952,53.145681906613724,-5.113260941282175,-2.3197967769263523
Elf2(+),-25.576715759627792,15.308592572660245,7.63559657612558,2.1635452785269393
Elf3(+),2.344858348656338,-6.4216789560307035,4.905229854605941,-3.5962918459590516
Elf4(+),11.68818201597269,-20.019934782992742,-7.361898052373348,32.58692569344202
Elf5(+),-23.798642666989423,-40.62283486688739,78.78538748131658,-2.4695178164053706
Elk1(+),-13.845199495489268,-12.663126341165015,24.626642483720282,-1.3366211217292585
Elk3(+),8.875929500577039,-11.635387967932688,1.5332184290996012,0.5662017663410389
Elk4(+),5.4522918246899525,-18.293031928984036,10.578391241332232,-1.2051853010854392
Emx2(+),46.92965595207014,-26.120186444879856,-11.913895193046875,-3.3364083448184036
En1(+),10.84400492110926,-4.8221376471763175,-5.273578306873614,-0.411784489441692
En2(+),-5.122698720960274,-15.082552555152008,12.978583321806875,9.107711921840037
Eomes(+),2.9057638074824266,-5.1705116446985775,0.724219575501386,2.2485455963663816
Ep300(+),-12.394030133653507,6.38436732018085,7.2075430094449375,-3.7799848016121746
Erf(+),4.345387483813051,-10.322171467002072,4.707282714006591,-0.027980492662869616
Erg(+),19.40602373981146,-11.621920982611671,-7.325441813332115,0.9021358054301201
Esr2(+),6.165101340390079,-5.688457279314416,0.3036950741985348,-2.209581575264447
Esrrb(+),-4.575850575952437,4.875495918736391,-0.04091586913165499,0.03580303325793645
Ets1(+),16.29725039465123,-17.52828528164863,-11.008218663184177,26.35589455426834
Ets2(+),-8.706851185381185,-6.653161636687684,15.168602654511998,-3.5138319877133557
Etv1(+),14.539576198077462,-15.908547688722713,0.5537704980406354,-0.43347108050212774
Etv3(+),-0.8056580585003866,-2.1422389760758054,1.2505368352872812,2.7753935304492976
Etv4(+),13.428608035511312,-9.751383833818156,-1.9783510720262347,-3.5308496148712116
Etv5(+),48.79648523718212,-13.833239107207852,-21.76268916529843,-5.256804277608316
Fli1(+),16.811670426388122,-18.560845153584484,-10.747126158807063,26.65395529811218
Fos(+),1.8959095071996317,-6.539757956020612,3.180759665862672,1.2953546419597117
Fosb(+),1.6537134651743914,6.714683150994638,-5.052697135757548,-4.458662747210569
Fosl1(+),44.237190346939265,-18.002636877652403,-17.53866194305369,-1.6552651910705178
Fosl2(+),-0.8218324577906986,-3.0024611199142894,3.136770217326847,0.22608954275662632
Foxa1(+),-23.924122303850265,146.15352977629982,-28.515402882647987,-6.432537421406715
Foxa2(+),-1.6011265424153973,-11.986048867535144,12.417805311814112,-2.041183633526708
Foxa3(+),7.304335319471626,-10.760016804362149,-0.6528910867839617,6.900772090999333
Foxi1(+),-3.3819820550746216,-13.135240600112592,13.530199305462654,1.132203592281805
Foxj1(+),5.19618825389827,-10.660084198236863,4.4640626592272445,-0.5459478331928679
Foxj2(+),-3.076555419696187,-8.641432246016604,9.631047234839421,0.791096259378481
Foxj3(+),6.865839347480109,-4.753217472493688,-0.9551841654086638,-2.4889250120698256
Foxk1(+),-0.2384202107742186,-3.9442057849577634,3.945515066173369,-0.9632853844300704
Foxm1(+),-7.909754606635825,-7.569860576225874,-10.524862416002332,91.85972264136949
Foxo1(+),30.855541859848483,-39.39567031601941,2.8669430830916447,1.247367275626462
Foxo4(+),-1.8356766040957182,-4.409908842854589,5.4187098255410255,-0.2132812331627174
Foxo6(+),-4.106426915957964,5.460956221725011,-0.36354742079192465,-1.2361900438372235
Foxp1(+),12.229112216687708,7.050974187654498,-17.58493961374157,1.0144170315972552
Foxp3(+),1.6770705898352194,-6.473582799296483,4.166630182375425,-0.56796345371084
Gabpa(+),2.038266015040213,-7.612772315776018,6.173429392618908,-3.607328510509251
Gabpb1(+),3.9624713777887823,-11.480351790759311,5.437201275070757,1.1692681323122163
Gata1(+),1.2924410335187815,-9.494935522785475,7.634234381685438,-1.9293535091151315
Gata2(+),-11.794267403493272,-18.70889907267217,29.137877790427694,-2.6906861709800474
Gata3(+),-28.877135095649596,145.40436045899972,-24.30833155996683,-6.028516392430193
Gata4(+),5.800812103821101,-3.764170822042022,-1.351807728121139,-1.372439317766666
Gata6(+),14.81845660934,-17.446936246741178,2.7038524291906927,-3.1192818663830884
Gatad1(+),-20.256629760729414,3.736485565466789,14.938628554097626,-1.2778982479318495
Gbx1(+),-1.5963275406681048,-2.3273069028033553,3.862522686398997,-1.1024735894963757
Gcm1(+),-0.7143124056698203,-7.273563541573925,7.778767107205833,-2.317333944440655
Gfi1(+),7.579397311121587,-8.847835146977898,0.645949094418865,0.043486730480788105
Gmeb1(+),2.389413080583123,-9.249413273548248,-0.8077950575692533,14.402198611150082
Gmeb2(+),0.8886146658986538,-1.527803849740358,0.5305220827765421,-0.08829163482664147
Gpbp1l1(+),-1.9882342036671041,-0.10689563945473562,3.0200108130449,-2.587076255321077
Grhl2(+),-3.84578059883493,-3.0757028006055016,6.6178389154255495,-1.3623423601035503
Gtf2b(+),1.8119977955009718,-6.776854559349087,5.273739160948207,-2.711931261249486
Gtf2f1(+),0.6242735649935924,-3.1913541135843637,0.264708537352628,4.097465245506105
Gtf2ird1(+),4.981494805313062,-3.5211933135684466,-2.1631377569672643,1.561889546842948
Hdac2(+),-3.560748838588727,1.6336347628726693,2.5877642648545045,-1.780232989791518
Hdx(+),25.562817744612303,-9.578598684746947,-11.979786230238968,-2.880950672882479
Hes1(+),-2.6131210580501634,-5.097880075986911,6.411564578305222,0.40032019709126143
Hes6(+),-0.013238942414775806,2.249811072820352,-1.0076417516220053,-1.905623398701838
Hes7(+),20.96173492256572,-10.038509220533237,-8.859297759270204,-1.2295755121127883
Hey2(+),-4.085376232252744,-11.533697949090037,15.50915667383502,-4.367746726844644
Hic1(+),-1.3519026693367067,-1.0858217525494402,2.510806653298653,-0.8955540155795849
Hif1a(+),-6.884507740878033,22.536023112399974,-9.455262120416593,-5.215301774529015
Hltf(+),28.923359231012533,-19.681293638778506,-9.085289755108494,3.127496177502156
Hmbox1(+),-8.110820389638416,21.31123719286134,-9.011252507529713,-1.8838274100434405
Hmga1b(+),-4.332808413666594,-0.43398773219794173,4.030633303203057,0.368980212295334
Hmga2(+),1.146167005306115,-7.00059328100208,6.427320009697918,-3.525448840649273
Hmgxb3(+),-11.911934785192258,34.41066402752342,-12.43547462499979,-6.076359128523021
Hnf1a(+),35.84457926336004,-11.014159684613496,-18.20250067987849,-2.3525820537552384
Hnf1b(+),5.152064636009725,-6.415121387430508,1.3781368948253556,-1.2980896290386907
Hnf4a(+),-1.8173508385323796,-3.7424117210634957,6.180569795935823,-3.145444171140947
Hnf4g(+),8.019701912324654,-10.935573975989431,3.4082967811878206,-3.179516435899801
Hoxa1(+),12.940752870844689,-10.792927058446084,-2.2379159068927126,-0.2009848549267725
Hoxa10(+),15.121264733561308,-8.064691731145459,-6.287019948716392,-0.16657475920019144
Hoxa2(+),11.671076031612126,-9.404267511348595,-1.4600389985472462,-2.042796475153788
Hoxa3(+),-0.43263347409084674,-2.3077403957362903,1.0828494112347349,2.721222556929326
Hoxa4(+),1.6031964541081614,-5.536630836889592,4.374104765632875,-2.5921704623225734
Hoxa5(+),-2.2776186766084305,1.7295697930345915,-0.012961165160818064,1.2883971975311947
Hoxa6(+),10.766269748308487,-7.787627243458957,-3.232696714321027,0.6542936414449885
Hoxa7(+),-0.18030176411826443,-10.302242832824334,10.11714840812944,-2.942892262186969
Hoxa9(+),4.376267584602811,0.9657581241177755,-3.1571006149937535,-3.365670480042201
Hoxb2(+),-3.1112983519234203,10.540277030489149,-4.195387203400891,-3.8963074961391557
Hoxb3(+),1.9373822934058407,-9.157225652420042,6.63438577322519,-1.6249729659810022
Hoxb4(+),-4.393927368776458,-3.564841922946675,6.848783348896287,0.10370653575465179
Hoxb5(+),-1.5839143389030093,-2.7561018948682583,2.447201566418969,2.7877290221877735
Hoxb6(+),-2.967289430430318,-5.108716248361329,4.454565007793134,5.414457939580331
Hoxb7(+),4.83847623999192,-16.77809272448883,9.386810721973905,0.016864414575873326
Hoxb8(+),0.1250995337635267,-4.9499026498513325,-0.22488819108723088,9.487677631137736
Hoxc4(+),5.211869378700845,-15.025895777718876,8.606421280155361,-1.9920278460056897
Hoxc8(+),0.6107208425857253,-3.971023268730531,3.1346757453527436,-0.7912027302110495
Hoxd10(+),0.5703238234199235,-2.9247076399898964,2.1843420706599903,-0.5420644354710397
Hoxd3(+),5.5005378183985965,-11.800665737715363,4.715980222807374,0.32627009652087485
Hoxd4(+),1.1698182261801024,-3.521884880278779,0.9921759342151837,2.021236916274767
Hoxd9(+),-0.2693292473824937,-4.689903031638311,3.4668739160966306,1.5218079961247688
Hsf1(+),7.468043755663891,-20.845100163052116,10.396744611892746,-0.5848575641918297
Hsf2(+),-3.25283942923556,-4.967050295175423,7.774677956158549,-1.5516142705172522
Ikzf1(+),13.73542489888441,-18.124160872719262,-9.123850336960668,28.410606741773034
Ikzf2(+),9.103760791962022,-19.550129691001644,-3.360095272623305,26.35859683116213
Ikzf3(+),9.86327967895875,-12.966264474195267,-9.350238055389841,27.04623932589335
Ikzf5(+),-2.281752378488802,-0.6072705406093153,2.838467293225292,-0.6847787963480438
Ilf2(+),4.37467783479739,-7.1732097294856,1.9972547574544934,0.22252007351413353
Ing4(+),-1.1051791155904431,-7.573471596292039,7.632882424103375,-0.6908842042556456
Irf1(+),7.959554849952346,-17.67209150020401,5.831568869145659,3.186403036924142
Irf2(+),15.12332917770404,-38.67513120751842,6.164240306497504,19.604641779478364
Irf3(+),7.688101531841117,-6.640081632723601,0.4939760960967732,-3.830680282063619
Irf4(+),2.328362293805507,-6.080255811198158,3.5745833298097,-1.256398792046359
Irf5(+),11.507123720000756,-14.322490471936302,-2.1167092484578243,8.427609460805762
Irf7(+),10.907552768373476,-7.622866143642429,-1.9444691042347553,-2.7551034454437557
Irf8(+),19.146585038383957,-34.251053629578934,5.519391326696152,7.767010556787713
Irf9(+),0.143460129407829,-14.028815087103233,12.187967496155055,-1.4217958713965246
Jdp2(+),25.15596175788164,-9.173891395695417,-12.175522592363034,-2.555906658740845
Jun(+),-3.097816633005014,-2.3245279025695136,5.9979591800084195,-2.8578892096774764
Junb(+),-0.860801747653116,-12.929598093683135,11.400734470060312,0.2973615721515237
Jund(+),-26.37945672453908,-5.873469988607138,31.771992895012865,-4.350697718543478
Klf10(+),-1.3199194223602075,-12.884748605563557,11.99082981991834,-0.12397500063010573
Klf3(+),3.364603818131097,-11.403482072362369,7.597449569402402,-2.508436842341033
Klf4(+),-10.745424328889664,-21.50203053042442,30.312524600884757,-2.1038775301579657
Klf9(+),0.5951963077003488,-12.443638105246459,9.992803687119405,-0.4148574923928199
Kmt2b(+),-6.832926349000638,3.0166697511514498,4.299350546139725,-1.7608205355487436
Lbx2(+),-0.5965348704480428,-5.074868515578741,3.726583131573974,2.297829997147054
Lef1(+),11.360907570380293,-12.891246087494975,-9.496090235545532,23.757275525215896
Lhx2(+),2.1756661443245284,-4.735328112030454,0.941387089967279,2.397127111015483
Lhx4(+),-1.330148037404387,-1.4615048434545717,2.2658329758954716,0.29759582575148974
Lhx6(+),8.43110033631615,-5.06726122701593,-3.2375739704660265,0.13010152483484178
Lhx8(+),15.34684761159603,-8.734957781254495,-5.878250481570055,-0.25680477220969505
Lmx1a(+),-0.45822562929962024,-1.8143431184700232,1.0034668909722577,2.0340089217267012
Ltf(+),-24.626728006022105,-31.297793190327777,65.28777562812122,-3.8445078960902195
Maf(+),12.771483665898549,-22.249446415195703,1.8584335834005137,10.353049104580844
Mafa(+),16.033031897081383,-13.23551859667008,-1.6263873888077163,-2.880927068349868
Mafb(+),14.580397919591208,-12.5578066004286,-1.0142818144949037,-2.800139418890247
Maff(+),3.4675808138677473,-13.76338251936679,8.338917394184051,-0.1889733204417426
Mafg(+),-1.1255140843576157,-7.055927517072438,7.244185174822955,-0.7472107241894667
Mafk(+),19.231798044107542,-8.87382329902869,-7.221301545978771,-3.924202233792097
Max(+),-0.11301274571927321,-8.649023366557948,6.770162752659798,1.181447098684915
Mbd1(+),-1.0045896317619611,0.18440316446099037,1.880947186816555,-2.5361395848995367
