source,target,coef_mean,coef_abs,p,-logp
Foxa1,1110019D14Rik,-0.00018130249,0.00018130249,0.0017304353763643975,2.7618446149265696
Tfap2b,1110019D14Rik,0.00084948965,0.00084948965,8.122748482816602e-07,6.090296994287015
Ppara,1110019D14Rik,0.00030557596,0.00030557596,9.17734934367667e-09,8.037282736188937
Nr4a3,1110019D14Rik,-0.0004456172,0.0004456172,0.000643392295311068,3.191524144124013
Mbd1,1110019D14Rik,0.0035842694,0.0035842694,5.324282415032549e-08,7.273738916375931
Plagl1,1110019D14Rik,0.0020644022,0.0020644022,9.471910927111347e-10,9.023562394663166
Maf,1110019D14Rik,0.0016869529,0.0016869529,0.011810443184354784,1.9277338052731525
Ehf,1110019D14Rik,0.004131951,0.004131951,2.0418202135378616e-09,8.689982501086469
Egr1,1110019D14Rik,0.0033722818,0.0033722818,9.00260902604098e-09,8.04563161040419
Batf3,1110019D14Rik,-0.0007000505,0.0007000505,4.59065681121224e-07,6.338125173051404
Fos,1110019D14Rik,0.001526063,0.001526063,2.2562325491183356e-08,7.646616139797766
Mlxipl,1110019D14Rik,5.0837367e-05,5.0837367e-05,0.004675994844683009,2.3301259763226345
Pgr,1110019D14Rik,0.00015450103,0.00015450103,3.4660176680239707e-06,5.460169227800475
Pparg,1110019D14Rik,0.00084649585,0.00084649585,3.7070217326447836e-07,6.4309748678846415
Prrx1,1110019D14Rik,0.0047632535,0.0047632535,3.4125879004902074e-10,9.466916153370615
Pou2f2,1110019D14Rik,0.0017556285,0.0017556285,2.9687343036668386e-06,5.527428669232792
Mef2c,1110019D14Rik,0.0024452603,0.0024452603,6.977393622176388e-09,8.156306776072434
Foxp3,1110019D14Rik,-0.0019961288,0.0019961288,1.5807419988446786e-09,8.801139007753807
Elf5,1110019D14Rik,0.0047616838,0.0047616838,1.2007591879492324e-13,12.920544081548975
Gata3,1110019D14Rik,0.0017147692,0.0017147692,3.4463004251457616e-13,12.46264686638422
Lhx6,1110019D14Rik,-0.0005473376,0.0005473376,1.6966858136350004e-06,5.770398571375572
Prdm16,1110019D14Rik,0.00089981506,0.00089981506,5.747705588956011e-13,12.240505485556328
Hes1,1110019D14Rik,0.0057313466,0.0057313466,2.257118700270307e-13,12.646445601083133
