source,target,coef_mean,coef_abs,p,-logp
Foxa1,1110019D14Rik,0.060696393,0.060696393,3.8544956811501544e-14,13.414032436606893
Tfap2b,1110019D14Rik,0.005496056,0.005496056,7.432403318676387e-05,4.128870731425203
Ppara,1110019D14Rik,-0.07518472,0.07518472,1.605692995852693e-11,10.794337487047668
Nr4a3,1110019D14Rik,-0.021413775,0.021413775,7.6591961771826e-10,9.115816806624833
Mbd1,1110019D14Rik,0.11497867,0.11497867,2.6396440644233468e-11,10.578454630432594
Plagl1,1110019D14Rik,0.017630985,0.017630985,3.8750406792711624e-05,4.4117237340117965
Maf,1110019D14Rik,0.038581375,0.038581375,3.0682406097148004e-05,4.513110586256928
Ehf,1110019D14Rik,-0.0061019203,0.0061019203,0.0003646032708844522,3.438179439573811
Egr1,1110019D14Rik,-0.02046278,0.02046278,3.937963956406642e-05,4.404728263211954
Batf3,1110019D14Rik,0.011823301,0.011823301,0.008404501354814804,2.0754880484679994
Fos,1110019D14Rik,0.024740214,0.024740214,0.012085605128939034,1.9177315994905368
Mlxipl,1110019D14Rik,-0.020639997,0.020639997,0.004249226326308748,2.371690136491261
Pgr,1110019D14Rik,0.0025326717,0.0025326717,5.387146571444238e-05,4.268641208173467
Pparg,1110019D14Rik,0.075969845,0.075969845,1.3455347163916506e-05,4.87110509244291
Prrx1,1110019D14Rik,-0.083664946,0.083664946,1.6852828316246964e-09,8.773327203453643
Pou2f2,1110019D14Rik,0.009006755,0.009006755,0.15242968318104935,0.8169304530326741
Mef2c,1110019D14Rik,0.04796094,0.04796094,2.485705886633358e-08,7.604550259189395
Foxp3,1110019D14Rik,-0.03522393,0.03522393,2.0259045786595668e-07,6.693381014028818
Elf5,1110019D14Rik,0.023142353,0.023142353,0.00017711534515051045,3.751743810207517
Gata3,1110019D14Rik,0.019272223,0.019272223,2.527183514398453e-06,5.597363220131213
Lhx6,1110019D14Rik,0.07663107,0.07663107,4.500822473524032e-12,11.346708116652588
Prdm16,1110019D14Rik,0.045833778,0.045833778,2.0042757277993953e-07,6.698042532892308
Hes1,1110019D14Rik,-0.019750467,0.019750467,5.5888815037111875e-05,4.252675098262054
Mecom,1110019D14Rik,0.025717728,0.025717728,6.967942133918864e-08,7.156895464634158
Ar,1110019D14Rik,0.044327505,0.044327505,9.748696772096559e-07,6.011053437892899
