source,target,coef_mean,coef_abs,p,-logp
Foxa1,Cav1,0.00051182834,0.00051182834,0.5658798611730216,0.2472757616876773
Tfap2b,Cav1,0.033458512,0.033458512,1.4265583812732873e-12,11.845710450332868
Irf8,Cav1,0.0052352715,0.0052352715,0.007714023121043231,2.112719063768338
Ppara,Cav1,0.017236931,0.017236931,0.0016119902914540614,2.7926375781516635
Nr4a3,Cav1,0.016299872,0.016299872,3.420117394477655e-08,7.4659589866635026
Mbd1,Cav1,0.0059077125,0.0059077125,0.026063675884995568,1.5839643336737312
Plagl1,Cav1,0.013809495,0.013809495,2.626742640122792e-05,4.580582475919598
Maf,Cav1,0.008472208,0.008472208,0.005243456483986694,2.280382331901629
Esr1,Cav1,0.018694334,0.018694334,2.1925851714860607e-05,4.659043527363076
Ehf,Cav1,-0.020150026,0.020150026,7.874282135118004e-06,5.1037890285183884
Egr1,Cav1,-0.004074412,0.004074412,5.4501351853324294e-05,4.263592725335141
Batf3,Cav1,0.010844784,0.010844784,1.3613205039560662e-08,7.866039614170123
Bcl11b,Cav1,-0.015695259,0.015695259,4.372927165421915e-13,12.35922775611473
Myb,Cav1,0.0022020023,0.0022020023,0.09856217165044662,1.0062897361311989
Fos,Cav1,0.0039823265,0.0039823265,0.0005240735435496004,3.2806077639387587
Mlxipl,Cav1,0.02808138,0.02808138,1.5807201984499962e-06,5.801144997255198
Stat4,Cav1,-0.0010510291,0.0010510291,0.33208795450771955,0.4787468768427552
Pparg,Cav1,0.033801932,0.033801932,2.5662236690901665e-09,8.59070549370611
Pgr,Cav1,-0.00093251915,0.00093251915,0.1509821194004997,0.821074482544601
Runx3,Cav1,0.004576221,0.004576221,0.014151903931014374,1.8491851282591554
Pou2f2,Cav1,-0.0078393,0.0078393,5.261002948365939e-07,6.2789314548159
Mef2c,Cav1,0.029609501,0.029609501,2.0885161751693635e-14,13.680162156855841
Foxp3,Cav1,-0.014299148,0.014299148,2.3237872412339992e-09,8.633803637119852
Foxn1,Cav1,-0.0069189533,0.0069189533,1.1648947789306648e-08,7.933713301241873
Elf5,Cav1,-0.013381039,0.013381039,4.85744109041152e-07,6.313592457689445
Gata3,Cav1,0.0034814547,0.0034814547,0.012052551128366179,1.9189210175118128
Prdm16,Cav1,0.0473961,0.0473961,4.975500369441308e-10,9.30316323717756
Hes1,Cav1,-0.0125210555,0.0125210555,3.1351719637566776e-08,7.503738633186566
Ar,Cav1,0.022392403,0.022392403,8.220628648911125e-07,6.085094969769715
Mybl1,Cav1,0.011160204,0.011160204,2.9887459190914846e-10,9.524511003872323
Rbpj,Cav1,0.02094793,0.02094793,3.2265588738944265e-06,5.491260406064618
Pax5,Cav1,-0.009083625,0.009083625,2.7351922863524806e-05,4.563012136984523
Irf4,Cav1,0.011305183,0.011305183,2.0296211409229645e-08,7.692585022068171
Npas3,Cav1,0.008025694,0.008025694,0.0013222548863832896,2.878684819373922
Trp63,Cav1,-0.0005518966,0.0005518966,0.7997464912379859,0.09704765663844592
Ikzf2,Cav1,0.02497842,0.02497842,7.131575318272467e-11,10.146814526744901
Fli1,Cav1,0.010418191,0.010418191,3.287381002355048e-06,5.48314995894505
Bcl11a,Cav1,-0.004722202,0.004722202,0.0006516091515401877,3.1860128248615416
Ppargc1a,Cav1,0.030977901,0.030977901,2.385299130578885e-07,6.6224571501191924
Ebf3,Cav1,0.04277161,0.04277161,3.838516389031707e-08,7.415836600777899
Creb5,Cav1,0.019280769,0.019280769,1.0734223982761807e-10,9.969229346866888
Zbtb7c,Cav1,-0.009815372,0.009815372,5.352486997022772e-06,5.271444379078479
Foxa1,Ccbe1,0.023025982,0.023025982,1.6950361067505154e-05,4.7708210462541185
Erg,Ccbe1,-0.0031655414,0.0031655414,4.199778015371049e-06,5.376773664184772
Tfap2b,Ccbe1,0.005981206,0.005981206,0.00707623378174157,2.150197827480353
Ppara,Ccbe1,-0.0014800243,0.0014800243,0.0939498630063366,1.0271038488325928
Mbd1,Ccbe1,0.0061713792,0.0061713792,0.0005649879232220186,3.2479608352497498
Plagl1,Ccbe1,0.0011748287,0.0011748287,0.08021765268902067,1.095730050396264
Esr1,Ccbe1,0.019620713,0.019620713,0.0005296124810001488,3.2760417887390076
Ehf,Ccbe1,-0.004886667,0.004886667,0.004411891719013641,2.3553751549834208
Egr1,Ccbe1,-0.00093239197,0.00093239197,0.00033758268769137553,3.471619833470823
Fos,Ccbe1,0.012389713,0.012389713,3.201710831789796e-06,5.494617894724352
Mlxipl,Ccbe1,-0.00040429487,0.00040429487,0.5710231485948899,0.24334628561886784
Pparg,Ccbe1,0.0064327624,0.0064327624,7.874118998856371e-10,9.10379802615283
Pou2f2,Ccbe1,0.0044778516,0.0044778516,0.0003137693366150398,3.5033895004863935
Mef2c,Ccbe1,-0.011196006,0.011196006,1.5771950293259154e-12,11.802114600315354
Foxn1,Ccbe1,-0.0039999285,0.0039999285,1.2112409859702336e-09,8.91676944193949
Prdm16,Ccbe1,0.0033085067,0.0033085067,6.262685010236831e-05,4.203239431146555
Hes1,Ccbe1,0.013246055,0.013246055,3.563836834406738e-08,7.448082187783009
Mybl1,Ccbe1,0.00022767922,0.00022767922,0.6003153487355087,0.2216205525529732
Pax5,Ccbe1,0.0066235634,0.0066235634,9.479535239386968e-07,6.023212954636356
Fli1,Ccbe1,-0.004163848,0.004163848,5.13155846693826e-06,5.289750718552297
Ppargc1a,Ccbe1,0.004594983,0.004594983,1.783108971567968e-07,6.74882211487035
Ebf3,Ccbe1,0.0072451844,0.0072451844,3.753735384036391e-08,7.425536345807202
Erg,Ccdc162,0.006251047,0.006251047,1.710844939715134e-08,7.7667893504108045
Esrrb,Ccdc162,0.03258547,0.03258547,5.712916148605597e-05,4.243142150255071
Ebf3,Ccdc162,-0.0034962334,0.0034962334,2.184530625298849e-07,6.660641862465026
Foxa1,Ccdc162,0.030595392,0.030595392,1.839993656744419e-05,4.735183674189184
Tfap2b,Ccdc162,0.0045582587,0.0045582587,0.07833289882263327,1.106055801462259
Irf8,Ccdc162,-0.004192482,0.004192482,0.0014433739292269469,2.8406211433607687
Ppara,Ccdc162,0.0042976905,0.0042976905,0.00013905006295539894,3.856828810171442
Nr4a3,Ccdc162,-0.011498966,0.011498966,1.119408932862886e-08,7.95101123175341
Mbd1,Ccdc162,0.008244331,0.008244331,7.448281951318836e-08,7.1279438916958515
Maf,Ccdc162,-0.0010518291,0.0010518291,0.07016253037274454,1.1538947567699551
Esr1,Ccdc162,0.025596617,0.025596617,2.6598398568413667e-05,4.57514451050569
Ehf,Ccdc162,-0.013886555,0.013886555,6.098794539975249e-06,5.214755997181404
Egr1,Ccdc162,0.0013510071,0.0013510071,1.4587980169071648e-06,5.836004835738611
