cell_type,sample,rank,gene,degree_centrality_all
Endothelials,KO_DM,1,Klf12,0.2926829268292683
Endothelials,KO_DM,2,Sin3a,0.2101313320825516
Endothelials,KO_DM,3,Ebf1,0.1350844277673546
Endothelials,KO_DM,4,Fli1,0.1350844277673546
Endothelials,KO_DM,5,Zeb1,0.13320825515947468
Endothelials,KO_DM,6,Klf2,0.1294559099437148
Endothelials,KO_DM,7,Mef2c,0.1275797373358349
Endothelials,KO_DM,8,Pparg,0.12570356472795496
Endothelials,KO_DM,9,Klf8,0.11444652908067542
Endothelials,KO_DM,10,Npas3,0.10881801125703565
Endothelials,KO_DM,11,Chd2,0.10694183864915573
Endothelials,KO_DM,12,Prdm16,0.10318949343339587
Endothelials,KO_DM,13,Maf,0.08818011257035648
Endothelials,KO_DM,14,Foxp4,0.08630393996247655
Endothelials,KO_DM,15,Elf5,0.07879924953095685
Endothelials,KO_DM,16,Etv6,0.07879924953095685
Endothelials,KO_DM,17,Ar,0.075046904315197
Endothelials,KO_DM,18,Nfib,0.06941838649155722
Endothelials,KO_DM,19,Lhx6,0.06941838649155722
Endothelials,KO_DM,20,Tbp,0.06191369606003752
Endothelials,KO_DM,21,Tcf4,0.06191369606003752
Endothelials,KO_DM,22,Glis3,0.0600375234521576
Endothelials,KO_DM,23,Rorc,0.058161350844277676
Endothelials,KO_DM,24,Elk4,0.054409005628517824
Endothelials,KO_DM,25,Prdm1,0.054409005628517824
Endothelials,KO_DM,26,Pax5,0.054409005628517824
Endothelials,KO_DM,27,Foxn3,0.0525328330206379
Endothelials,KO_DM,28,Pbx1,0.05065666041275797
Endothelials,KO_DM,29,Xbp1,0.05065666041275797
Endothelials,KO_DM,30,Egr1,0.04878048780487805
Endothelials,KO_DM,31,Tcf7l1,0.04690431519699812
Endothelials,KO_DM,32,Hes1,0.0450281425891182
Endothelials,KO_DM,33,Polr3a,0.0450281425891182
Endothelials,KO_DM,34,Creb5,0.043151969981238276
Endothelials,KO_DM,35,Stat2,0.04127579737335835
Endothelials,KO_DM,36,Zbtb16,0.0375234521575985
Endothelials,KO_DM,37,Fkbp5,0.0375234521575985
Endothelials,KO_DM,38,Mecom,0.0375234521575985
