,condition_tvalue,abs_tvalue
Stat5a(+),-20.730751743482358,20.730751743482358
Gata3(+),10.269725939477784,10.269725939477784
Gatad1(+),-8.511188696391539,8.511188696391539
Cebpb(+),-8.055393762166727,8.055393762166727
Sox4(+),-8.020131283102256,8.020131283102256
Jund(+),-6.782273227369691,6.782273227369691
Nfia(+),6.187503348200098,6.187503348200098
Pgr(+),-5.9014991008540285,5.9014991008540285
Bclaf1(+),5.441062240878281,5.441062240878281
Atf7(+),4.459761540037542,4.459761540037542
Fli1(+),-4.42897535154709,4.42897535154709
Zbtb20(+),4.08056808739098,4.08056808739098
Spi1(+),-4.070596360380875,4.070596360380875
Tcf12(+),3.9274515449030307,3.9274515449030307
Lef1(+),-3.8891756176126524,3.8891756176126524
Stat3(+),-3.8379834979106286,3.8379834979106286
Bptf(+),3.729986397077453,3.729986397077453
Nfib(+),3.433267210120526,3.433267210120526
Rreb1(+),3.4183312481062615,3.4183312481062615
Ikzf1(+),-3.0616909178465463,3.0616909178465463
Relb(+),-2.701326253589077,2.701326253589077
Ets1(+),-2.5990343522962585,2.5990343522962585
Rora(+),2.4572419243199706,2.4572419243199706
Ube2k(+),2.3312908171264355,2.3312908171264355
Six3(+),-1.6650230910848915,1.6650230910848915
Erg(+),-1.264394492549539,1.264394492549539
Tcf4(+),1.0350480676241751,1.0350480676241751
Pparg(+),-0.9348807984464121,0.9348807984464121
Ebf1(+),-0.7625532036905499,0.7625532036905499
E2f8(+),-0.6894292470487924,0.6894292470487924
Elf1(+),0.6309581260026754,0.6309581260026754
Ep300(+),0.5881395656316923,0.5881395656316923
Elf2(+),0.41358521130760145,0.41358521130760145
Maf(+),0.33222690009530115,0.33222690009530115
Runx1(+),-0.3265269001055578,0.3265269001055578
Mtf2(+),0.2544286687586679,0.2544286687586679
Pou3f1(+),-0.022288575718795955,0.022288575718795955
