,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Tcf7l2,131,0.2509578544061303,9,0.017241379310344827,122,0.23371647509578544,3788.0,0.9793472495568692,KO_DM
Ets1,123,0.23563218390804597,3,0.005747126436781609,120,0.22988505747126436,1797.0,0.5886926645177097,KO_DM
Pax5,113,0.2164750957854406,0,0.0,113,0.2164750957854406,0.0,0.4618875773047065,KO_DM
Mef2c,106,0.20306513409961685,4,0.007662835249042145,102,0.19540229885057472,3460.0,0.6139376437268357,KO_DM
E2f7,105,0.20114942528735633,0,0.0,105,0.20114942528735633,0.0,0.6161811441985853,KO_DM
Creb5,95,0.18199233716475097,9,0.017241379310344827,86,0.16475095785440613,2001.0,1.0,KO_DM
Irf4,93,0.1781609195402299,3,0.005747126436781609,90,0.1724137931034483,2276.0,0.7980844837006741,KO_DM
Zeb1,82,0.15708812260536398,13,0.02490421455938697,69,0.13218390804597702,3327.0,0.4287789507929634,KO_DM
Runx2,81,0.15517241379310345,9,0.017241379310344827,72,0.13793103448275862,3753.0,0.49826418342993856,KO_DM
Gata3,72,0.13793103448275862,0,0.0,72,0.13793103448275862,0.0,0.2635538437114925,KO_DM
Ebf1,66,0.12643678160919541,1,0.0019157088122605363,65,0.12452107279693486,212.0,0.3480984562505894,KO_DM
Fli1,65,0.12452107279693486,2,0.0038314176245210726,63,0.1206896551724138,596.0,0.25744786064967595,KO_DM
Klf4,65,0.12452107279693486,3,0.005747126436781609,62,0.11877394636015326,774.0,0.4091967440140865,KO_DM
Mbd1,56,0.10727969348659004,0,0.0,56,0.10727969348659004,0.0,0.2050371993221985,KO_DM
Tcf4,52,0.09961685823754789,9,0.017241379310344827,43,0.08237547892720307,3858.0,0.42254370776433353,KO_DM
Ebf3,49,0.09386973180076628,5,0.009578544061302681,44,0.0842911877394636,479.0,0.28084903236056097,KO_DM
Runx1,45,0.08620689655172414,5,0.009578544061302681,40,0.07662835249042145,1485.0,0.1864265483306455,KO_DM
Nfia,45,0.08620689655172414,5,0.009578544061302681,40,0.07662835249042145,1767.0,0.20894590092480336,KO_DM
