regulon,Basal,LP_Cycling,LP_Others,LP_Others!,Mature_Luminal
2610021A01Rik(+),-2.950697793233848,-0.9078484245021491,-1.8919048089692267,1.9222221216924869,-0.6659864492201427
Ahdc1(+),-3.8565781842895692,-1.8061273019552526,-3.2809323903969965,-2.9524056257616125,-1.5619203434811721
Ahr(+),-7.981133340627968,-3.002147844878435,-13.811503016605354,-2.158871343495593,-3.336996226897605
Alx1(+),-0.09130280646360966,1.790223810524,0.5352385811748293,2.674898214245595,1.0596477566962723
Alx4(+),-4.029637557672946,-0.9136697965329986,7.896391743221824,-0.04674393345371463,-2.4160155856740433
Ar(+),-3.406239191335646,0.4900536706022943,-5.627848789946877,-1.301468704574794,-8.942908886989601
Arid3a(+),-2.8417871612053065,-0.32707762067842266,-0.2952887353013057,-0.20877939761098685,1.2325324156544442
Arid5b(+),4.843247570544926,2.302575763254437,0.9285463875469961,0.7463035717340702,-0.6919356483028302
Arnt(+),-3.3683509616511658,-0.2598272654969046,-3.326918702820385,-1.0090627554393954,0.8758222668333652
Arntl(+),1.4262231193370662,-0.5188619195152321,1.600564438203731,0.0,-1.3129811712029291
Ascl1(+),2.7775176692362153,1.169019508950826,2.66551504542169,1.7582560054168623,-1.7286703766489486
Ascl2(+),0.416289384214605,-1.014867204713314,-2.64578249194336,1.1602150453092344,-0.46820346458363826
Atf1(+),-1.8711698719215881,-0.5229287811655113,-2.229022034338468,1.1461507490672274,1.9407354234713663
Atf2(+),-4.325844964522123,-0.7114839727129987,-3.2773634976111725,0.11877388834698474,-3.326116167377057
Atf3(+),-1.390723775036283,-0.6878231387399182,-0.7658630286335824,1.0709054582913378,-0.9907936812682249
Atf4(+),-2.952442583270066,-1.7274989439071773,-5.006816973599311,-0.32723502638152757,-14.521454975803122
Atf5(+),1.323820432537247,0.672075948387075,0.6281385123372665,1.315852195322531,3.115892376341674
Atf7(+),-1.5819001341964054,0.03999876003624392,0.6989465842954318,-0.5143208278752316,10.22132443922217
Bach1(+),-1.2624288089484754,-0.6724755623919292,2.1690907378878883,1.0676351221163418,-4.597774861221816
Bach2(+),4.851404695469801,3.7062910428218894,9.332852858975622,2.09061569593287,-1.9328691875412913
Barhl1(+),0.892991484053736,-0.41142833061891343,2.7476541501669782,1.1793743109544401,0.6480138718349545
Batf(+),4.005029991071459,0.6226825294563311,-2.650209929894533,-0.8581203295163127,3.5083516893428968
Bcl11a(+),0.7555211734150666,1.7603579024521228,3.4394194056359777,-0.18106292723653913,-0.12369248455848716
Bcl6(+),1.4189628141109536,0.016572142609047366,1.0165753485562585,-1.2747123874807125,-7.032153353225775
Bcl6b(+),-1.2488195427605062,0.4904021436367282,4.252493848220388,1.805063730266617,-0.09573745300084603
Bclaf1(+),3.2532385971698887,0.07661713462890493,1.0344888004748205,-0.22275517391975588,2.1885819931518884
Bhlhe40(+),0.9197886704198457,0.2698895802458595,0.8805898318919045,-1.0270264703275747,2.831753287014553
Bptf(+),1.5689731426853029,1.1589011431766083,-0.44886050740848416,0.18332108950694315,-0.6882624795866742
Brca1(+),-4.891118134054605,-3.012323565745571,-6.921443776836292,-2.2060909212275543,-5.577198966986491
Brf1(+),1.5650329202178008,0.6821046401640931,7.573689518392396,2.679546081283951,-2.514300722733661
Cebpa(+),-1.4655355040683666,0.9817348846519852,-0.3302449870825205,0.31096062156023524,-2.763962802771608
Cebpb(+),-8.16274089809209,-3.5053786772258846,-8.944156254558344,-0.8046122537136591,-6.040958069795141
Cebpd(+),-6.202639375332705,-3.139478213129022,-8.665853247622508,0.16153353965406458,-5.621904992018349
Cebpg(+),-3.785713235898725,-1.5489511872940982,-2.029877728433095,-0.6102725643953196,-9.313274244240695
Cers3(+),3.618259766013505,0.9415684507282039,0.541103797377172,-0.4637632382823477,-2.0183642655843936
Chd1(+),0.00134937453209872,-3.2707109700234325,-2.4971236641261085,-1.5533177050198692,7.128374711680897
Churc1(+),-1.6963316422210342,-0.25456575829826533,6.537545004453497,1.2391959960811265,-11.449194813042995
Clock(+),1.6872749887139948,0.11189731656969712,0.29352994748943906,0.0037245638171085503,-4.887186479457249
Creb1(+),5.417142017053796,-1.0963245800510273,-0.12406103777691425,-0.49463434715089083,1.693091268944556
Creb3l2(+),0.06791377440709807,1.8318556808923336,-1.1637461162843075,-1.2515791545555621,-2.532682743134066
Creb3l4(+),-0.7817190584430604,-0.24258982997954298,-3.232026989545658,-0.7258005688743433,-6.815555534155145
Crem(+),-1.6622817441317843,2.009966320373399,2.5483613120497384,-0.3821444198751698,-5.13846278218909
Cux1(+),-0.526855800117928,0.5818391055011695,-2.2052770161211646,-2.2786412128250637,-1.1882005777130955
Dbp(+),6.935579102623841,0.4008214217570531,1.3432198862577585,0.5288980299434731,1.5207198350116344
Dbx2(+),-2.8738606222939147,-0.057757114794432435,3.9448861947173817,-0.35001318797880854,0.10281646193791515
Ddit3(+),-5.249837332269406,-0.5188619195152325,-0.7603002546530883,1.3280197150781934,0.6686925343334768
Dlx1(+),2.2296397442005227,-1.5610405127332123,-1.8380448518587116,0.7151594493670005,-1.513876610845429
Dlx3(+),0.14924070369822712,-0.5927273217778991,0.5548514726468391,0.48799803856262525,-0.880102685448607
Dlx4(+),1.9974157614278534,-0.6203521899225048,-0.22775175939320177,0.5254733349536449,4.4034405406328245
Dlx5(+),-2.7061294003021588,-2.082633902811182,-3.4440461541780145,-2.0308990465358523,-2.6166601298971424
Dmrta2(+),-8.173452246369106,-1.7054900696844526,-8.758097020417358,-2.07392319633215,-1.9225260707847533
E2f1(+),-9.591042301410877,-4.332248880686194,-17.55154201632701,-5.132943738591204,-8.952227756685994
E2f2(+),-4.2006550331360435,-2.0383340089617015,-5.248248228557561,-1.3132894206640424,-4.495025177607762
E2f3(+),-9.0430615207338,-2.7878314334838046,-8.794645726735947,-1.731252546046935,-7.033233450752171
E2f4(+),-4.512690254238139,-1.3649676337397998,-3.048549844197742,2.0943176937714756,-7.012056011987582
E2f6(+),-3.204397902011974,-1.1273502006473735,-1.4672759268559943,0.5840545141065973,-1.619824538831136
E2f7(+),-5.79519479013537,-1.3900119487210676,-8.26439489125282,-1.1544992153930644,-4.648182637403835
