cell_type,sample,rank,gene,degree_centrality_all
Epi_Ctr9+,KO_DM,1,Ebf1,0.16018662519440124
Epi_Ctr9+,KO_DM,2,Thrb,0.15085536547433903
Epi_Ctr9+,KO_DM,3,Mlxipl,0.13841368584758942
Epi_Ctr9+,KO_DM,4,Nr3c2,0.13374805598755832
Epi_Ctr9+,KO_DM,5,Tcf12,0.1290824261275272
Epi_Ctr9+,KO_DM,6,Bhlhe40,0.1088646967340591
Epi_Ctr9+,KO_DM,7,Fos,0.1057542768273717
Epi_Ctr9+,KO_DM,8,Zeb1,0.10108864696734059
Epi_Ctr9+,KO_DM,9,Mxi1,0.08553654743390357
Epi_Ctr9+,KO_DM,10,Tfap2b,0.07776049766718507
Epi_Ctr9+,KO_DM,11,Npas3,0.07465007776049767
Epi_Ctr9+,KO_DM,12,Pgr,0.07153965785381027
Epi_Ctr9+,KO_DM,13,Mef2c,0.06998444790046657
Epi_Ctr9+,KO_DM,14,Ar,0.06998444790046657
Epi_Ctr9+,KO_DM,15,Cebpb,0.06842923794712286
Epi_Ctr9+,KO_DM,16,Pparg,0.06687402799377916
Epi_Ctr9+,KO_DM,17,Stat5a,0.06376360808709176
Epi_Ctr9+,KO_DM,18,E2f3,0.06220839813374806
Epi_Ctr9+,KO_DM,19,Trp63,0.06220839813374806
Epi_Ctr9+,KO_DM,20,Klf13,0.06220839813374806
Epi_Ctr9+,KO_DM,21,Esrrg,0.06220839813374806
Epi_Ctr9+,KO_DM,22,Esr1,0.060653188180404355
Epi_Ctr9+,KO_DM,23,Nfia,0.05909797822706065
Epi_Ctr9+,KO_DM,24,Rora,0.05909797822706065
Epi_Ctr9+,KO_DM,25,Klf12,0.05443234836702955
Epi_Ctr9+,KO_DM,26,Creb5,0.05287713841368585
Epi_Ctr9+,KO_DM,27,Pax5,0.05132192846034215
Epi_Ctr9+,KO_DM,28,Gata3,0.05132192846034215
Epi_Ctr9+,KO_DM,29,Esrrb,0.04510108864696734
Epi_Ctr9+,KO_DM,30,Ehf,0.04354587869362364
Epi_Ctr9+,KO_DM,31,Calca,0.041990668740279936
Epi_Ctr9+,KO_DM,32,Nrxn3,0.04043545878693624
Epi_Ctr9+,KO_DM,33,Etv5,0.03732503888024884
Epi_Ctr9+,KO_DM,34,Hes1,0.03732503888024884
Epi_Ctr9+,KO_DM,35,Ppargc1a,0.03265940902021773
Epi_Ctr9+,KO_DM,36,Foxp1,0.03265940902021773
Epi_Ctr9+,KO_DM,37,Foxn3,0.03265940902021773
Epi_Ctr9+,KO_DM,38,Bach2,0.03110419906687403
Epi_Ctr9+,KO_DM,39,Mbd1,0.029548989113530325
Epi_Ctr9+,KO_DM,40,Tox2,0.029548989113530325
Epi_Ctr9+,KO_DM,41,Bmpr1b,0.027993779160186624
Epi_Ctr9+,KO_DM,42,Bcl11a,0.027993779160186624
Epi_Ctr9+,KO_DM,43,Epas1,0.027993779160186624
Epi_Ctr9+,KO_DM,44,Fgf14,0.027993779160186624
Epi_Ctr9+,KO_DM,45,Meis2,0.026438569206842923
Epi_Ctr9+,KO_DM,46,Ppara,0.024883359253499222
Epi_Ctr9+,KO_DM,47,Nfe2l2,0.02332814930015552
Epi_Ctr9+,KO_DM,48,Chsy3,0.02332814930015552
Epi_Ctr9+,KO_DM,49,Runx1,0.02332814930015552
Epi_Ctr9+,KO_DM,50,Pou2f2,0.02332814930015552
Epi_Ctr9+,WT_DM,1,Tcf12,0.2345679012345679
Epi_Ctr9+,WT_DM,2,Ebf1,0.1755829903978052
Epi_Ctr9+,WT_DM,3,Mlxipl,0.1673525377229081
Epi_Ctr9+,WT_DM,4,Thrb,0.15363511659807957
Epi_Ctr9+,WT_DM,5,Zeb1,0.1440329218106996
Epi_Ctr9+,WT_DM,6,Nr3c2,0.10425240054869685
Epi_Ctr9+,WT_DM,7,Tfap2b,0.09465020576131687
Epi_Ctr9+,WT_DM,8,Npas3,0.08641975308641975
Epi_Ctr9+,WT_DM,9,Esr1,0.08367626886145405
Epi_Ctr9+,WT_DM,10,Creb5,0.07956104252400549
Epi_Ctr9+,WT_DM,11,Pgr,0.07681755829903979
Epi_Ctr9+,WT_DM,12,Pparg,0.07270233196159122
Epi_Ctr9+,WT_DM,13,Trp63,0.07133058984910837
Epi_Ctr9+,WT_DM,14,Klf12,0.06995884773662552
Epi_Ctr9+,WT_DM,15,Foxn3,0.06858710562414266
Epi_Ctr9+,WT_DM,16,Nfia,0.06035665294924554
Epi_Ctr9+,WT_DM,17,Etv5,0.05898491083676269
Epi_Ctr9+,WT_DM,18,Rora,0.05486968449931413
Epi_Ctr9+,WT_DM,19,Bhlhe40,0.05486968449931413
Epi_Ctr9+,WT_DM,20,Esrrg,0.05486968449931413
Epi_Ctr9+,WT_DM,21,Mef2c,0.053497942386831275
Epi_Ctr9+,WT_DM,22,Ar,0.04938271604938271
Epi_Ctr9+,WT_DM,23,Gata3,0.04252400548696845
Epi_Ctr9+,WT_DM,24,Foxp1,0.039780521262002745
Epi_Ctr9+,WT_DM,25,Stat5a,0.037037037037037035
Epi_Ctr9+,WT_DM,26,Klf13,0.03566529492455418
Epi_Ctr9+,WT_DM,27,Bcl11a,0.03429355281207133
Epi_Ctr9+,WT_DM,28,Bach2,0.03017832647462277
Epi_Ctr9+,WT_DM,29,Mxi1,0.03017832647462277
Epi_Ctr9+,WT_DM,30,Zbtb16,0.02880658436213992
Epi_Ctr9+,WT_DM,31,Elf5,0.02880658436213992
Epi_Ctr9+,WT_DM,32,Runx1,0.027434842249657063
Epi_Ctr9+,WT_DM,33,Pbx1,0.027434842249657063
Epi_Ctr9+,WT_DM,34,Ehf,0.027434842249657063
Epi_Ctr9+,WT_DM,35,Meis2,0.027434842249657063
Epi_Ctr9+,WT_DM,36,Epas1,0.02194787379972565
Epi_Ctr9+,WT_DM,37,Tbx21,0.02194787379972565
Epi_Ctr9+,WT_DM,38,Fam3c,0.02194787379972565
Epi_Ctr9+,WT_DM,39,Htr4,0.02194787379972565
Epi_Ctr9+,WT_DM,40,Nrg4,0.0205761316872428
Epi_Ctr9+,WT_DM,41,Nrxn3,0.019204389574759947
Epi_Ctr9+,WT_DM,42,Cdh13,0.019204389574759947
Epi_Ctr9+,WT_DM,43,Camk2b,0.019204389574759947
Epi_Ctr9+,WT_DM,44,Areg,0.019204389574759947
Epi_Ctr9+,WT_DM,45,Spi1,0.01783264746227709
Epi_Ctr9+,WT_DM,46,Mapre2,0.01783264746227709
Epi_Ctr9+,WT_DM,47,Lmx1b,0.01783264746227709
Epi_Ctr9+,WT_DM,48,E2f3,0.01646090534979424
Epi_Ctr9+,WT_DM,49,Cebpb,0.01646090534979424
Epi_Ctr9+,WT_DM,50,Gli3,0.015089163237311385
