target,coef_mean_KO_DM,coef_abs_KO_DM,p_KO_DM,coef_mean_WT_DM,coef_abs_WT_DM,p_WT_DM,membership
Grip1,-0.08286089,0.08286089,1.9567940966831311e-07,,,,KO_DM_only
Rps7,-0.103555836,0.103555836,8.320540140997046e-15,,,,KO_DM_only
Ank3,0.10244619,0.10244619,1.8491783740863612e-08,,,,KO_DM_only
Mapk4,-0.102435805,0.102435805,7.159357278817568e-19,,,,KO_DM_only
Sox6,0.08681479,0.08681479,2.3078159191059587e-07,,,,KO_DM_only
Vgll4,-0.08694825,0.08694825,6.007956994078533e-11,,,,KO_DM_only
Hlf,0.08521333,0.08521333,5.494450358222296e-14,,,,KO_DM_only
Lars2,0.08700944,0.08700944,1.3905542795890976e-08,,,,KO_DM_only
Rpsa,-0.08788653,0.08788653,1.0573755658777001e-10,,,,KO_DM_only
D17H6S56E-5,0.0852052,0.0852052,1.2537019896970197e-06,,,,KO_DM_only
Neb,-0.08888771,0.08888771,1.17603732332469e-16,,,,KO_DM_only
Igf1r,0.08919971,0.08919971,4.717709847298485e-06,,,,KO_DM_only
Parp8,-0.08937875,0.08937875,1.1443664316689909e-11,,,,KO_DM_only
Tanc2,0.09054991,0.09054991,1.701461759064788e-10,,,,KO_DM_only
9530026P05Rik,0.0909507,0.0909507,2.6805647622440316e-13,,,,KO_DM_only
Commd10,0.09122253,0.09122253,3.05626903562272e-14,,,,KO_DM_only
Cachd1,-0.09153667,0.09153667,6.04625176288813e-13,,,,KO_DM_only
Bcl11a,-0.093789585,0.093789585,7.431695200751501e-13,,,,KO_DM_only
Afap1l2,0.07256994,0.07256994,1.8724659741681506e-14,,,,KO_DM_only
Foxp1,0.08507015,0.08507015,1.972627336056279e-08,,,,KO_DM_only
Nfib,0.095701896,0.095701896,2.5835690877118428e-11,,,,KO_DM_only
Rabep2,0.08416922,0.08416922,2.850042823674748e-18,,,,KO_DM_only
Parp14,-0.09653081,0.09653081,4.881015663345839e-15,,,,KO_DM_only
Stat1,-0.096727,0.096727,1.3345484364184353e-10,,,,KO_DM_only
Hells,-0.08377902,0.08377902,7.125677477547668e-14,,,,KO_DM_only
Thbs1,-0.099015534,0.099015534,1.2146451281474363e-12,,,,KO_DM_only
Pvt1,-0.09936622,0.09936622,7.123439835263946e-10,,,,KO_DM_only
Hp,-0.09993406,0.09993406,1.9832110668436282e-11,,,,KO_DM_only
Pip5k1b,0.08344299,0.08344299,5.5886024238992285e-11,,,,KO_DM_only
1700025G04Rik,-0.08325941,0.08325941,8.566668950056984e-10,,,,KO_DM_only
Met,0.10163443,0.10163443,4.81408765484679e-10,,,,KO_DM_only
Lrrc7,-0.10172115,0.10172115,4.721037135775478e-12,,,,KO_DM_only
Garnl3,0.10175815,0.10175815,2.3092692588818196e-17,,,,KO_DM_only
Camk1d,0.10206013,0.10206013,1.6301779045218763e-11,,,,KO_DM_only
Slc12a2,0.08480129,0.08480129,5.937169655905902e-11,,,,KO_DM_only
Grik3,0.08584704,0.08584704,6.569394604254143e-19,,,,KO_DM_only
Pdzd2,0.07137303,0.07137303,7.938313353641959e-10,,,,KO_DM_only
Tmtc2,0.07122008,0.07122008,1.1846809174834385e-08,,,,KO_DM_only
Glis3,-0.06058273,0.06058273,6.6037038272468e-08,,,,KO_DM_only
Rhoj,0.17949098,0.17949098,3.7628000316092546e-10,,,,KO_DM_only
Zbtb20,0.06054572,0.06054572,3.821061877035353e-08,,,,KO_DM_only
Dapk1,0.18325193,0.18325193,8.359707159636612e-14,,,,KO_DM_only
Lpl,-0.059750006,0.059750006,1.6102734611232111e-15,,,,KO_DM_only
Esr1,0.05951845,0.05951845,4.526621956222793e-08,,,,KO_DM_only
Ntn4,0.18924159,0.18924159,9.305609696329899e-16,,,,KO_DM_only
Pak3,-0.1906546,0.1906546,4.235774384460109e-11,,,,KO_DM_only
Mphosph8,-0.06172345,0.06172345,6.773578027733691e-10,,,,KO_DM_only
Nav2,0.13283889,0.13283889,8.080373803197966e-12,,,,KO_DM_only
Kitl,0.05894343,0.05894343,2.645013631059895e-06,,,,KO_DM_only
Lbp,0.058851045,0.058851045,2.580443237393592e-11,,,,KO_DM_only
Mrps6,0.05815148,0.05815148,4.824035373046536e-09,,,,KO_DM_only
Lpgat1,-0.057882324,0.057882324,7.805391825294786e-05,,,,KO_DM_only
Tshz2,0.21631311,0.21631311,7.85456316432017e-14,,,,KO_DM_only
Auts2,0.2346688,0.2346688,1.358301408557476e-13,,,,KO_DM_only
H2-Q6,-0.23586585,0.23586585,8.098157655616378e-13,,,,KO_DM_only
Csmd1,0.28067887,0.28067887,1.8542195712911093e-10,,,,KO_DM_only
Pkp4,-0.05896813,0.05896813,2.1667177926313583e-07,,,,KO_DM_only
Wfdc2,0.061916098,0.061916098,1.4161622778430491e-16,,,,KO_DM_only
Xkr6,0.19299047,0.19299047,3.2095678896136525e-13,,,,KO_DM_only
Vegfc,-0.062735446,0.062735446,2.5676578379605966e-09,,,,KO_DM_only
Arhgap26,-0.071170725,0.071170725,8.981040996503037e-07,,,,KO_DM_only
Cenpp,-0.07079121,0.07079121,1.5138404040846156e-12,,,,KO_DM_only
Itm2b,0.1775221,0.1775221,3.710998014872347e-13,,,,KO_DM_only
Pik3r1,-0.07076541,0.07076541,1.3343737817099848e-07,,,,KO_DM_only
Pla2g4a,0.06990033,0.06990033,4.2432639475712544e-18,,,,KO_DM_only
