,condition_tvalue,abs_tvalue
Nfia(+),13.060037689256317,13.060037689256317
Tcf4(+),-7.407384512687622,7.407384512687622
Ube2k(+),6.945421288634132,6.945421288634132
Gata3(+),6.719582683284527,6.719582683284527
Bclaf1(+),5.841540118490346,5.841540118490346
Pparg(+),5.724237743665826,5.724237743665826
Jund(+),-5.233441061209899,5.233441061209899
Gatad1(+),-4.591390479447554,4.591390479447554
Maf(+),-4.577405717613927,4.577405717613927
Nfib(+),4.257173799995622,4.257173799995622
Zbtb20(+),4.019049686203313,4.019049686203313
Relb(+),-4.002038205724717,4.002038205724717
Stat3(+),-3.6439070531977915,3.6439070531977915
Rreb1(+),3.4013161935642944,3.4013161935642944
Lef1(+),-3.3326898919238594,3.3326898919238594
Mtf2(+),3.3069861252908757,3.3069861252908757
Fli1(+),-2.9946195225906993,2.9946195225906993
Cebpb(+),-2.8219936781864985,2.8219936781864985
Rora(+),2.73855555910697,2.73855555910697
Bptf(+),2.544293433374144,2.544293433374144
Elf2(+),2.4806210285253947,2.4806210285253947
Tcf12(+),2.428876420531417,2.428876420531417
Ets1(+),-2.142471481968144,2.142471481968144
Six3(+),-1.9589235925802653,1.9589235925802653
Ikzf1(+),-1.9209937222514972,1.9209937222514972
Runx1(+),1.5815624148621876,1.5815624148621876
Spi1(+),1.3015941176000672,1.3015941176000672
Erg(+),-1.0021894977973538,1.0021894977973538
Ebf1(+),-0.7821144707460266,0.7821144707460266
Stat5a(+),0.7762490270020264,0.7762490270020264
Elf1(+),0.7241065669485865,0.7241065669485865
E2f8(+),-0.33869676952907235,0.33869676952907235
Ep300(+),-0.3243722351921522,0.3243722351921522
Sox4(+),-0.2331245912243421,0.2331245912243421
Atf7(+),0.2242301214327826,0.2242301214327826
Pgr(+),-0.18420864738393594,0.18420864738393594
Pou3f1(+),0.027095932249254866,0.027095932249254866
