regulon,Adipocyte,BasalEpi_Acta2+Trp63,Bcells,DCs,Endothelials,Epi_Ctr9+,Epi_Kit+Elf5+,Epi_proliferating,Fibroblasts,Myeloid_cells,Pericytes/SMC,SMC?,Schwann?,Tcells
Atf7(+),0.2242301214327826,-1.8998274700159865,-4.012777942427021,0.27335319897871824,-2.1343024621921747,4.459761540037542,-2.990003145822411,-1.1238234724888223,-2.3982558069535904,-3.2292493378859324,-0.782319353279849,-0.3570884054310947,0.8766668215747653,-5.57854596124214
Bclaf1(+),5.841540118490346,0.16367652449327377,-3.3086963740392292,0.06664495760182515,-2.0574193280749946,5.441062240878281,-1.063653074365996,0.9818941882105718,0.27222059973946944,-2.8191534010162784,-0.2790689344790462,-1.6716816202774794,0.7782915684580228,-3.727406537643045
Bptf(+),2.544293433374144,-1.6547344308383847,-0.7758763370819355,1.3007841799390236,-1.8578626595626044,3.729986397077453,-5.693704542843765,-0.5847539170753684,-0.3835146437854661,-2.2122768269046955,-0.6562882886456661,-0.711630324441546,0.3905212956423999,-2.8006931430366278
Cebpb(+),-2.8219936781864985,-9.05214598835037,-3.0948784902521975,-0.695317542260434,-4.409753296318333,-8.055393762166727,-11.914564567682584,-3.1025205288379456,-4.542454253115231,-3.64958232984396,-0.9985985556621114,-2.5694682614512097,-0.5377648462446359,-5.613582016683433
E2f8(+),-0.33869676952907235,-1.1660279395768944,0.8517706600103073,-0.7608822757858928,0.2896810182379121,-0.6894292470487924,11.80448380044577,1.1502335098569239,-0.19971766672238891,-0.08405450827964475,-0.0894633863484189,-0.7125035403444506,-2.154012886407479,0.33943384633470375
Ebf1(+),-0.7821144707460266,10.794933077448878,1.9606643474826568,4.49320824316546,-0.4426683901396912,-0.7625532036905499,3.202947435305486,3.242412126305286,-1.2105744994459235,1.8746735544597946,1.208834877224381,-0.4052029572859416,0.7705248750119678,1.543444704543223
Elf1(+),0.7241065669485865,-3.9439472491432843,-3.3254994750710227,-0.06719836892668073,-1.1997795452145537,0.6309581260026754,-9.62237300984839,-0.9498016014018128,-1.1554363658810782,-3.245951369465104,0.019709131507368822,-2.2181233000430254,-0.3158501587718293,-7.6041107052230394
Elf2(+),2.4806210285253947,-2.491978336928459,-2.6225459740420667,1.967105917551031,-1.6947364622677932,0.41358521130760145,-3.5233407262437164,-1.5709023433446958,-1.2419976254981473,-5.567781626142705,-0.06791177256076236,-2.1105394629507006,1.9488400102184653,-5.33256581120834
Ep300(+),-0.3243722351921522,0.09671450036358036,1.3698239538826458,-0.14631778191854528,-0.36674920200693273,0.5881395656316923,2.624023243261801,0.9841456446977039,0.3906595203426405,2.042452350491851,0.3006434213154655,-0.14112059798852641,0.6180709663930629,0.3331658997104519
Erg(+),-1.0021894977973538,-0.9273760095192078,1.21776345580049,-0.9074959708855658,0.2372347001902464,-1.264394492549539,-2.792666933300221,-1.1107188853854257,-0.007870338453587042,1.6567058365832745,0.60796233069989,-2.010846091292326,2.2058631835406968,0.18230209883472479
Ets1(+),-2.142471481968144,-1.8061544026056784,0.9114090099267446,-0.8211747559652075,0.5986917135450442,-2.5990343522962585,1.962491641778033,1.2717757358909494,0.9562459128238125,-1.3798244030285465,0.11879842426554353,-0.2681747972899314,-0.5894725060514971,2.0269670130455038
Fli1(+),-2.9946195225906993,-3.3892861042992553,0.9037527095038724,-0.13547671982048975,-0.8104582964403255,-4.42897535154709,-0.8389351621008261,0.5212160095009006,0.3088535464987772,-3.1125749681728134,0.5374730796866471,-0.6472388703416858,-0.5236354291839768,-4.635388934918921
Gata3(+),6.719582683284527,1.4024663449253394,-2.763233738947578,0.7577274114338141,-0.08618983599212116,10.269725939477784,4.398049232488242,-1.236528601370137,3.2403145096321966,-1.89423983470463,-0.2995482349429911,-0.9668516563465231,0.6639564481933118,-3.1971659000571933
Gatad1(+),-4.591390479447554,-10.067830686888174,-3.2713844384581225,-1.0735764588895544,-4.5425209772030986,-8.511188696391539,-11.968136058357278,-4.234123256499244,-4.3843574852152,-3.1417595220117756,-2.5496046654775153,-0.9076466743526644,-2.4205795519275473,-6.340450342635525
