,condition_tvalue,abs_tvalue
Mef2c(+),4.852290570981126,4.852290570981126
Gatad1(+),-4.384378872016355,4.384378872016355
E2f1(+),-4.332248880686194,4.332248880686194
Zfp74(+),4.077160279166587,4.077160279166587
Bach2(+),3.7062910428218894,3.7062910428218894
Cebpb(+),-3.5053786772258846,3.5053786772258846
En1(+),3.492857372921256,3.492857372921256
Gabpb1(+),3.4626113020084506,3.4626113020084506
Foxp1(+),3.3929263546496604,3.3929263546496604
Rarg(+),-3.338465193781528,3.338465193781528
Irf8(+),3.291149467037175,3.291149467037175
Chd1(+),-3.2707109700234325,3.2707109700234325
Ube2k(+),-3.247728719389731,3.247728719389731
Spib(+),-3.235178459895155,3.235178459895155
Nr3c1(+),3.2254070182901797,3.2254070182901797
Mybl2(+),-3.1427169541788027,3.1427169541788027
Cebpd(+),-3.139478213129022,3.139478213129022
Relb(+),-3.098651006715392,3.098651006715392
Hoxa9(+),3.078866393853482,3.078866393853482
Klf15(+),3.0143736882760956,3.0143736882760956
Brca1(+),-3.012323565745571,3.012323565745571
Ahr(+),-3.002147844878435,3.002147844878435
Pbx4(+),2.994407258642257,2.994407258642257
Ppara(+),2.9928125677895645,2.9928125677895645
Tfdp1(+),-2.948836604399438,2.948836604399438
Stat3(+),-2.9338243635016514,2.9338243635016514
Junb(+),-2.909249600431825,2.909249600431825
Jund(+),-2.8858137253243807,2.8858137253243807
Tbx5(+),2.8636067377648273,2.8636067377648273
Zfp748(+),-2.8609610775624517,2.8609610775624517
E2f3(+),-2.7878314334838046,2.7878314334838046
Rfx2(+),-2.74123255466982,2.74123255466982
Irx4(+),2.7312750698796915,2.7312750698796915
Srebf1(+),2.6649621752861963,2.6649621752861963
Gtf2ird1(+),2.6647887137880097,2.6647887137880097
Zfp932(+),-2.6587058682599594,2.6587058682599594
Tfeb(+),2.630201529562243,2.630201529562243
Tead1(+),2.5739072481026164,2.5739072481026164
Mitf(+),2.5501630098131267,2.5501630098131267
Stat2(+),-2.5485130906949465,2.5485130906949465
Yy1(+),-2.547632850404907,2.547632850404907
Zfp647(+),2.5321757793763173,2.5321757793763173
Ltf(+),-2.513561177669797,2.513561177669797
Nfic(+),-2.4304687747274354,2.4304687747274354
Pou5f1(+),2.4060882883272723,2.4060882883272723
Rfx1(+),2.382361399852323,2.382361399852323
Prrx2(+),-2.370407210799331,2.370407210799331
Pparg(+),2.3057150584416664,2.3057150584416664
Arid5b(+),2.302575763254437,2.302575763254437
Zfp944(+),2.2887006702070916,2.2887006702070916
Hoxa6(+),2.286498842206608,2.286498842206608
Mafa(+),2.280688631251198,2.280688631251198
Nr2f2(+),-2.255092461050582,2.255092461050582
Spi1(+),2.2476246751444218,2.2476246751444218
Zfp580(+),-2.2052045329224192,2.2052045329224192
Runx2(+),2.203613860102972,2.203613860102972
Hsf1(+),-2.1938623263401986,2.1938623263401986
Dlx5(+),-2.082633902811182,2.082633902811182
Klf4(+),-2.0741918798211634,2.0741918798211634
Ncoa1(+),2.056003699317821,2.056003699317821
E2f2(+),-2.0383340089617015,2.0383340089617015
Zeb1(+),2.0330135157255596,2.0330135157255596
Nrf1(+),-2.019651264944802,2.019651264944802
Satb2(+),-2.0147571313573893,2.0147571313573893
Crem(+),2.009966320373399,2.009966320373399
Sox5(+),2.0090374560995836,2.0090374560995836
Nfia(+),1.9830938589778866,1.9830938589778866
Myc(+),-1.9651317057416866,1.9651317057416866
