,condition_tvalue,abs_tvalue
Ehf(+),16.607941753944882,16.607941753944882
Barx2(+),16.2479780866092,16.2479780866092
Rorc(+),14.622676145033774,14.622676145033774
E2f1(+),-14.236575645044411,14.236575645044411
E2f3(+),-14.02944778211347,14.02944778211347
Rfx2(+),-13.06926353890512,13.06926353890512
Tfdp1(+),-12.540487723881903,12.540487723881903
Nfib(+),11.817631190487132,11.817631190487132
Ahr(+),-11.76711865215716,11.76711865215716
Stat1(+),-11.185296802306603,11.185296802306603
Gatad1(+),-11.030542231901062,11.030542231901062
Meis1(+),10.998913432562546,10.998913432562546
Srebf2(+),-10.709320553901282,10.709320553901282
Pbx3(+),10.095826361452936,10.095826361452936
Tcf7l2(+),10.095196646349835,10.095196646349835
Foxa1(+),10.04490711859041,10.04490711859041
Junb(+),-9.920098178609084,9.920098178609084
Cebpb(+),-9.77767968361192,9.77767968361192
Cebpd(+),-9.44282295793013,9.44282295793013
Rest(+),9.221169500160821,9.221169500160821
E2f8(+),9.200226250824429,9.200226250824429
Hoxa1(+),9.137212380346321,9.137212380346321
Gata2(+),9.096382339792319,9.096382339792319
Runx2(+),8.909696192091726,8.909696192091726
Srebf1(+),8.494421628677344,8.494421628677344
Relb(+),-8.332981672794558,8.332981672794558
Sox14(+),8.1015274075914,8.1015274075914
Zfp213(+),7.97204237140016,7.97204237140016
Hsf1(+),7.911905818285202,7.911905818285202
Etv5(+),-7.772811113547317,7.772811113547317
Ikzf2(+),-7.721378118461517,7.721378118461517
Sox6(+),7.713149357183439,7.713149357183439
Spib(+),-7.675276330130319,7.675276330130319
Irf8(+),7.659438663031662,7.659438663031662
Pitx3(+),7.536733180660319,7.536733180660319
Irf2(+),-7.444382414731752,7.444382414731752
E2f7(+),-7.425064467219362,7.425064467219362
Hoxc4(+),-7.242650181419007,7.242650181419007
Bach2(+),6.81139939424242,6.81139939424242
Stat2(+),-6.735067244172193,6.735067244172193
Stat5a(+),-6.6938016409188075,6.6938016409188075
Satb2(+),-6.684953899093549,6.684953899093549
Tcf7l1(+),-6.670230943887016,6.670230943887016
Foxm1(+),-6.60947373552434,6.60947373552434
Nr2c2(+),-6.400292813615662,6.400292813615662
Brca1(+),-6.330212217424893,6.330212217424893
Mnt(+),6.275206352450651,6.275206352450651
En2(+),-6.066892784081742,6.066892784081742
Ski(+),5.98834364869246,5.98834364869246
Hsf2(+),5.978115066657724,5.978115066657724
