,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Tfap2b,107,0.23060344827586207,0,0.0,107,0.23060344827586207,0.0,0.8967801568041843,Epi_Kit+Elf5+
Tcf7l2,92,0.19827586206896552,18,0.03879310344827586,74,0.15948275862068967,3650.0,0.8060981047667353,Epi_Kit+Elf5+
Npas3,70,0.15086206896551724,15,0.032327586206896554,55,0.11853448275862069,1790.0,1.0,Epi_Kit+Elf5+
Ets1,70,0.15086206896551724,4,0.008620689655172414,66,0.14224137931034483,1077.0,0.26510175627297655,Epi_Kit+Elf5+
Ebf1,65,0.1400862068965517,8,0.017241379310344827,57,0.12284482758620689,821.0,0.41883073785363295,Epi_Kit+Elf5+
Stat1,62,0.1336206896551724,1,0.0021551724137931034,61,0.1314655172413793,75.0,0.21896571220698402,Epi_Kit+Elf5+
Klf12,56,0.1206896551724138,0,0.0,56,0.1206896551724138,0.0,0.321651822501865,Epi_Kit+Elf5+
Nfib,56,0.1206896551724138,9,0.01939655172413793,47,0.10129310344827586,1171.0,0.5511222748769873,Epi_Kit+Elf5+
Ehf,51,0.10991379310344827,5,0.010775862068965518,46,0.09913793103448276,1558.0,0.4063552203232203,Epi_Kit+Elf5+
Pgr,50,0.10775862068965517,2,0.004310344827586207,48,0.10344827586206896,1525.0,0.22895822016797357,Epi_Kit+Elf5+
Nfia,49,0.10560344827586207,7,0.015086206896551725,42,0.09051724137931035,3467.0,0.21203656506240623,Epi_Kit+Elf5+
Elf5,46,0.09913793103448276,13,0.028017241379310345,33,0.07112068965517242,3487.0,0.3442712151113849,Epi_Kit+Elf5+
Zeb1,46,0.09913793103448276,0,0.0,46,0.09913793103448276,0.0,0.3002822216092187,Epi_Kit+Elf5+
Creb5,43,0.09267241379310345,15,0.032327586206896554,28,0.0603448275862069,1161.0,0.3989682620022431,Epi_Kit+Elf5+
Tal1,43,0.09267241379310345,0,0.0,43,0.09267241379310345,0.0,0.1520519660935652,Epi_Kit+Elf5+
Nfatc1,42,0.09051724137931035,0,0.0,42,0.09051724137931035,0.0,0.26452555719369397,Epi_Kit+Elf5+
Rora,42,0.09051724137931035,16,0.034482758620689655,26,0.05603448275862069,1984.0,0.40669310606302705,Epi_Kit+Elf5+
Zbtb7c,41,0.08836206896551724,7,0.015086206896551725,34,0.07327586206896551,1166.0,0.29529342975135814,Epi_Kit+Elf5+
Ahr,39,0.08405172413793104,12,0.02586206896551724,27,0.05818965517241379,938.0,0.2740713360641318,Epi_Kit+Elf5+
Klf4,39,0.08405172413793104,0,0.0,39,0.08405172413793104,0.0,0.30628216844815986,Epi_Kit+Elf5+
Bcl11a,38,0.08189655172413793,2,0.004310344827586207,36,0.07758620689655173,137.0,0.20947905470961556,Epi_Kit+Elf5+
Etv6,37,0.07974137931034483,7,0.015086206896551725,30,0.06465517241379311,1045.0,0.2868200884916261,Epi_Kit+Elf5+
Pax5,36,0.07758620689655173,3,0.00646551724137931,33,0.07112068965517242,316.0,0.09857416873596932,Epi_Kit+Elf5+
Pou2f2,36,0.07758620689655173,0,0.0,36,0.07758620689655173,0.0,0.21791136820896118,Epi_Kit+Elf5+
Bach2,35,0.07543103448275862,12,0.02586206896551724,23,0.04956896551724138,1204.0,0.18973870155638617,Epi_Kit+Elf5+
Glis3,33,0.07112068965517242,3,0.00646551724137931,30,0.06465517241379311,910.0,0.3402593192836894,Epi_Kit+Elf5+
Maf,33,0.07112068965517242,0,0.0,33,0.07112068965517242,0.0,0.15927496598867005,Epi_Kit+Elf5+
Foxn3,32,0.06896551724137931,10,0.021551724137931036,22,0.04741379310344827,779.0,0.18530736839131137,Epi_Kit+Elf5+
Id1,31,0.0668103448275862,0,0.0,31,0.0668103448275862,0.0,0.17507913481202272,Epi_Kit+Elf5+
Fli1,30,0.06465517241379311,3,0.00646551724137931,27,0.05818965517241379,866.0,0.15477763139558717,Epi_Kit+Elf5+
Myb,28,0.0603448275862069,0,0.0,28,0.0603448275862069,0.0,0.13273887340355153,Epi_Kit+Elf5+
Tcf4,28,0.0603448275862069,3,0.00646551724137931,25,0.05387931034482758,582.0,0.244612127327909,Epi_Kit+Elf5+
Rel,27,0.05818965517241379,0,0.0,27,0.05818965517241379,0.0,0.1665706642542177,Epi_Kit+Elf5+
Pbx3,27,0.05818965517241379,0,0.0,27,0.05818965517241379,0.0,0.09557312280578863,Epi_Kit+Elf5+
Dlg2,26,0.05603448275862069,26,0.05603448275862069,0,0.0,0.0,0.2530973913224812,Epi_Kit+Elf5+
Mef2c,25,0.05387931034482758,3,0.00646551724137931,22,0.04741379310344827,494.0,0.1595396585602186,Epi_Kit+Elf5+
Foxp3,25,0.05387931034482758,0,0.0,25,0.05387931034482758,0.0,0.18666413878608037,Epi_Kit+Elf5+
Mbd1,25,0.05387931034482758,0,0.0,25,0.05387931034482758,0.0,0.21959552131196644,Epi_Kit+Elf5+
Prdm1,24,0.05172413793103448,0,0.0,24,0.05172413793103448,0.0,0.23194586213840626,Epi_Kit+Elf5+
Nfatc2,23,0.04956896551724138,0,0.0,23,0.04956896551724138,0.0,0.13840463706626882,Epi_Kit+Elf5+
Trf,23,0.04956896551724138,23,0.04956896551724138,0,0.0,0.0,0.352798061356656,Epi_Kit+Elf5+
Ppargc1a,22,0.04741379310344827,0,0.0,22,0.04741379310344827,0.0,0.1306690805078762,Epi_Kit+Elf5+
Csmd1,22,0.04741379310344827,22,0.04741379310344827,0,0.0,0.0,0.2959081180859296,Epi_Kit+Elf5+
Celf2,21,0.04525862068965517,21,0.04525862068965517,0,0.0,0.0,0.23955524462397357,Epi_Kit+Elf5+
Erbb4,21,0.04525862068965517,21,0.04525862068965517,0,0.0,0.0,0.36477294295259177,Epi_Kit+Elf5+
Klf2,21,0.04525862068965517,0,0.0,21,0.04525862068965517,0.0,0.21456842287938366,Epi_Kit+Elf5+
Ltbp1,21,0.04525862068965517,21,0.04525862068965517,0,0.0,0.0,0.33011733002117605,Epi_Kit+Elf5+
Fam20a,20,0.04310344827586207,20,0.04310344827586207,0,0.0,0.0,0.38679945839203717,Epi_Kit+Elf5+
Runx3,20,0.04310344827586207,0,0.0,20,0.04310344827586207,0.0,0.09502947155061921,Epi_Kit+Elf5+
Foxp1,20,0.04310344827586207,10,0.021551724137931036,10,0.021551724137931036,2376.0,0.18278631175419355,Epi_Kit+Elf5+
Chst9,20,0.04310344827586207,20,0.04310344827586207,0,0.0,0.0,0.13894621906401305,Epi_Kit+Elf5+
Gpc6,20,0.04310344827586207,20,0.04310344827586207,0,0.0,0.0,0.5786153181967508,Epi_Kit+Elf5+
Irf8,19,0.040948275862068964,0,0.0,19,0.040948275862068964,0.0,0.10633163272058731,Epi_Kit+Elf5+
Rbms3,19,0.040948275862068964,19,0.040948275862068964,0,0.0,0.0,0.22930435654251022,Epi_Kit+Elf5+
Lars2,19,0.040948275862068964,19,0.040948275862068964,0,0.0,0.0,0.1167192964669959,Epi_Kit+Elf5+
Gabrg3,18,0.03879310344827586,18,0.03879310344827586,0,0.0,0.0,0.17240570731224686,Epi_Kit+Elf5+
Irf4,18,0.03879310344827586,0,0.0,18,0.03879310344827586,0.0,0.11138794591053244,Epi_Kit+Elf5+
Pbx1,18,0.03879310344827586,7,0.015086206896551725,11,0.023706896551724137,1533.0,0.3215138458302417,Epi_Kit+Elf5+
Ppara,18,0.03879310344827586,0,0.0,18,0.03879310344827586,0.0,0.07984834363823973,Epi_Kit+Elf5+
Dclk1,17,0.036637931034482756,17,0.036637931034482756,0,0.0,0.0,0.2139963804727562,Epi_Kit+Elf5+
Camk1d,17,0.036637931034482756,17,0.036637931034482756,0,0.0,0.0,0.0909004046458261,Epi_Kit+Elf5+
Scara5,17,0.036637931034482756,17,0.036637931034482756,0,0.0,0.0,0.18782662545128978,Epi_Kit+Elf5+
Efna5,17,0.036637931034482756,17,0.036637931034482756,0,0.0,0.0,0.3759391220838183,Epi_Kit+Elf5+
Thsd4,17,0.036637931034482756,17,0.036637931034482756,0,0.0,0.0,0.28571034480069013,Epi_Kit+Elf5+
Bcl11b,17,0.036637931034482756,3,0.00646551724137931,14,0.03017241379310345,456.0,0.03884323285701774,Epi_Kit+Elf5+
Mlxipl,16,0.034482758620689655,0,0.0,16,0.034482758620689655,0.0,0.06870967066435063,Epi_Kit+Elf5+
Ntn1,16,0.034482758620689655,16,0.034482758620689655,0,0.0,0.0,0.3532527184874568,Epi_Kit+Elf5+
Zbtb16,16,0.034482758620689655,6,0.01293103448275862,10,0.021551724137931036,401.0,0.09344248881267217,Epi_Kit+Elf5+
Gata2,15,0.032327586206896554,0,0.0,15,0.032327586206896554,0.0,0.10417063509544695,Epi_Kit+Elf5+
Xkr6,15,0.032327586206896554,15,0.032327586206896554,0,0.0,0.0,0.1817140325508137,Epi_Kit+Elf5+
Trp63,15,0.032327586206896554,0,0.0,15,0.032327586206896554,0.0,0.05176481191467342,Epi_Kit+Elf5+
Rps7,15,0.032327586206896554,15,0.032327586206896554,0,0.0,0.0,0.14721503023994348,Epi_Kit+Elf5+
Prlr,15,0.032327586206896554,15,0.032327586206896554,0,0.0,0.0,0.14879638899107206,Epi_Kit+Elf5+
Tspan8,15,0.032327586206896554,15,0.032327586206896554,0,0.0,0.0,0.1642442335459511,Epi_Kit+Elf5+
Prkg1,15,0.032327586206896554,15,0.032327586206896554,0,0.0,0.0,0.23156278245853035,Epi_Kit+Elf5+
H2-Q6,14,0.03017241379310345,14,0.03017241379310345,0,0.0,0.0,0.1531338895265734,Epi_Kit+Elf5+
Auts2,14,0.03017241379310345,14,0.03017241379310345,0,0.0,0.0,0.1910706803274528,Epi_Kit+Elf5+
2610307P16Rik,14,0.03017241379310345,14,0.03017241379310345,0,0.0,0.0,0.18626948857840472,Epi_Kit+Elf5+
Nr2f2,14,0.03017241379310345,0,0.0,14,0.03017241379310345,0.0,0.10872581789251762,Epi_Kit+Elf5+
D17H6S56E-5,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.0901581146900159,Epi_Kit+Elf5+
Fgfr2,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.1107473805938812,Epi_Kit+Elf5+
Ccnd3,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.08968251052886189,Epi_Kit+Elf5+
Grip1,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.1606199568583712,Epi_Kit+Elf5+
Atxn1,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.14456151739079356,Epi_Kit+Elf5+
Igfbp5,13,0.028017241379310345,13,0.028017241379310345,0,0.0,0.0,0.3412860703284492,Epi_Kit+Elf5+
Sox5,12,0.02586206896551724,12,0.02586206896551724,0,0.0,0.0,0.09638054435294187,Epi_Kit+Elf5+
Slc28a3,12,0.02586206896551724,12,0.02586206896551724,0,0.0,0.0,0.07191491034619522,Epi_Kit+Elf5+
Scd1,12,0.02586206896551724,12,0.02586206896551724,0,0.0,0.0,0.11331577275032588,Epi_Kit+Elf5+
Papln,12,0.02586206896551724,12,0.02586206896551724,0,0.0,0.0,0.34497715205586926,Epi_Kit+Elf5+
Mbnl1,12,0.02586206896551724,12,0.02586206896551724,0,0.0,0.0,0.13712565903389828,Epi_Kit+Elf5+
Erg,12,0.02586206896551724,0,0.0,12,0.02586206896551724,0.0,0.04952691907269703,Epi_Kit+Elf5+
Airn,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.0968279479512838,Epi_Kit+Elf5+
Ror1,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.25893684214517415,Epi_Kit+Elf5+
Ebf3,11,0.023706896551724137,0,0.0,11,0.023706896551724137,0.0,0.07289475754151488,Epi_Kit+Elf5+
Aldh1a3,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.11113181448926658,Epi_Kit+Elf5+
Bcl2,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.16707854331993108,Epi_Kit+Elf5+
Dst,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.18526874027458115,Epi_Kit+Elf5+
Stat4,11,0.023706896551724137,0,0.0,11,0.023706896551724137,0.0,0.024083243668441286,Epi_Kit+Elf5+
Ctnnd2,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.16735823376918796,Epi_Kit+Elf5+
Kit,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.16412926196416425,Epi_Kit+Elf5+
Ikzf2,11,0.023706896551724137,0,0.0,11,0.023706896551724137,0.0,0.08202862429399195,Epi_Kit+Elf5+
Sorbs2,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.10235752402449469,Epi_Kit+Elf5+
Kcnd2,11,0.023706896551724137,11,0.023706896551724137,0,0.0,0.0,0.18526061522895546,Epi_Kit+Elf5+
Ikzf1,11,0.023706896551724137,3,0.00646551724137931,8,0.017241379310344827,107.0,0.03932769044853589,Epi_Kit+Elf5+
Gna14,10,0.021551724137931036,10,0.021551724137931036,0,0.0,0.0,0.16700518487710758,Epi_Kit+Elf5+
Acaca,10,0.021551724137931036,10,0.021551724137931036,0,0.0,0.0,0.047199001060714174,Epi_Kit+Elf5+
Trps1,10,0.021551724137931036,10,0.021551724137931036,0,0.0,0.0,0.17767218983200148,Epi_Kit+Elf5+
